,word,frequency
3552,"baker,",1
3553,coarsest,1
3554,meagre,2
3555,loaves.,1
3556,rudely,1
3557,"pictured
",1
3558,drinking,14
3559,"wine-shops,",2
3560,croaked,9
3561,measures,2
3562,thin,7
3563,"beer,",3
3564,gloweringly,1
3565,"together.
",5
3566,Nothing,7
3567,represented,6
3568,flourishing,1
3569,"condition,",5
3570,save,21
3571,tools,11
3572,weapons;,1
3573,cutler's,1
3574,knives,3
3575,axes,1
3576,sharp,9
3577,"bright,
",1
3578,hammers,1
3579,gunmaker's,1
3580,murderous.,1
3581,crippling,1
3582,"pavement,",3
3583,reservoirs,1
3584,"footways,",2
3585,abruptly,1
3586,doors.,1
3587,"kennel,",1
3588,"amends,",1
3589,"middle
",3
3590,street-,1
3591,all:,1
3592,"rains,
",1
3593,"ran,",5
3594,eccentric,2
3595,"fits,",1
3596,houses.,1
3597,Across,1
3598,"streets,",21
3599,wide,8
3600,"intervals,",5
3601,clumsy,2
3602,lamp,10
3603,slung,3
3604,rope,5
3605,pulley;,1
3606,lamplighter,1
3607,"lighted,",3
3608,hoisted,1
3609,grove,3
3610,dim,6
3611,wicks,1
3612,"swung
",1
3613,sickly,2
3614,"overhead,",1
3615,Indeed,2
3616,"sea,",5
3617,ship,1
3618,crew,1
3619,peril,6
3620,"tempest.
",1
3621,"For,",14
3622,scarecrows,5
3623,region,3
3624,"lamplighter,",1
3625,idleness,1
3626,"hunger,",2
3627,conceive,1
3628,idea,13
3629,improving,1
3630,"method,
",1
3631,hauling,1
3632,ropes,2
3633,"pulleys,",1
3634,flare,1
3635,condition.,6
3636,yet;,1
3637,blew,2
3638,"vain,
",1
3639,"birds,",2
3640,song,3
3641,"feather,",1
3642,"warning.
",1
3643,wine-shop,29
3644,corner,32
3645,"shop,",4
3646,"degree,",1
3647,master,3
3648,waistcoat,1
3649,green,3
3650,"breeches,",1
3651,struggle,10
3652,"""It's",6
3653,"affair,""",1
3654,final,7
3655,shrug,1
3656,shoulders.,1
3657,market,1
3658,bring,23
3659,"another.""
",2
3660,"There,",7
3661,happening,1
3662,catch,4
3663,"joke,",1
3664,"way:
",1
3665,"""Say,",1
3666,"Gaspard,",1
3667,"there?""
",3
3668,fellow,12
3669,pointed,10
3670,joke,1
3671,"significance,",1
3672,tribe.,1
3673,missed,3
3674,"mark,",2
3675,"completely
",2
3676,"failed,",1
3677,tribe,1
3678,"too.
",7
3679,now?,2
3680,Are,4
3681,subject,9
3682,mad,5
3683,"hospital?""",1
3684,wineshop,3
3685,"keeper,",2
3686,crossing,2
3687,obliterating,1
3688,jest,1
3689,handful,3
3690,picked,4
3691,"purpose,",6
3692,smeared,1
3693,"""Why
",1
3694,write,15
3695,public,23
3696,streets?,1
3697,there-,7
3698,thou-,1
3699,"there
",15
3700,"in?""
",3
3701,expostulation,1
3702,cleaner,1
3703,"(perhaps
",1
3704,"accidentally,",1
3705,not),1
3706,joker's,1
3707,heart.,8
3708,rapped,1
3709,nimble,3
3710,"upward,",1
3711,fantastic,2
3712,dancing,2
3713,jerked,1
3714,foot,13
3715,"extremely,",1
3716,wolfishly,1
3717,practical,1
3718,"character,",5
3719,"those
",7
3720,"circumstances.
",2
3721,"""Put",1
3722,"on,""",3
3723,"""Call",1
3724,wine;,2
3725,"finish
",2
3726,"there.""",1
3727,"advice,",2
3728,wiped,2
3729,soiled,2
3730,"joker's
",1
3731,"dress,",6
3732,was-,5
3733,"deliberately,",1
3734,dirtied,1
3735,account;,1
3736,recrossed,1
3737,entered,14
3738,"wine-shop.
",2
3739,keeper,9
3740,"bull-necked,",1
3741,martial-looking,1
3742,"thirty,",2
3743,"temperament,",1
3744,"for,",19
3745,bitter,4
3746,"coat,",4
3747,shoulder.,2
3748,shirt-sleeves,1
3749,"arms
",4
3750,elbows.,1
3751,Neither,5
3752,wear,3
3753,crisply-curling,1
3754,hair.,2
3755,"altogether,",2
3756,bold,5
3757,Good-humoured,1
3758,"whole,",2
3759,"implacable-looking,",1
3760,"too;
",2
3761,evidently,11
3762,resolution,4
3763,purpose;,3
3764,desirable,4
3765,"met,",1
3766,rushing,3
3767,gulf,1
3768,Madame,112
3769,"Defarge,",79
3770,shop,5
3771,counter,6
3772,in.,6
3773,Defarge,123
3774,stout,2
3775,"age,",11
3776,seldom,5
3777,"anything,",1
3778,"ringed,",1
3779,"features,",3
3780,composure,2
3781,manner.,6
3782,predicated,1
3783,mistakes,1
3784,"against
",4
3785,herself,23
3786,reckonings,1
3787,presided.,1
3788,"Madame
",13
3789,sensitive,2
3790,"fur,",1
3791,shawl,1
3792,twined,2
3793,"head,",16
3794,concealment,3
3795,ear-rings.,1
3796,pick,7
3797,teeth,7
3798,toothpick.,1
3799,"engaged,
",1
3800,elbow,5
3801,supported,5
3802,lord,2
3803,"in,",26
3804,coughed,3
3805,grain,2
3806,"cough.
",1
3807,"This,",4
3808,combination,1
3809,defined,2
3810,"eyebrows
",1
3811,toothpick,3
3812,suggested,7
3813,husband,38
3814,"customers,",3
3815,customer,6
3816,"stepped
",1
3817,"way.
",8
3818,accordingly,1
3819,"seated
",1
3820,corner.,3
3821,Other,4
3822,playing,2
3823,"cards,",2
3824,"dominoes,",1
3825,lengthening,2
3826,"supply
",1
3827,"counter,",10
3828,"man.""
",6
3829,galley,1
3830,"there?""",2
3831,"Monsieur
",9
3832,himself;,3
3833,feigned,4
3834,"strangers,",1
3835,fell,30
3836,discourse,1
3837,triumvirate,1
3838,"counter.
",2
3839,"""How",23
3840,goes,13
3841,"Jacques?""",2
3842,"Defarge.
",23
3843,spilt,2
3844,"swallowed?""
",1
3845,"""Every",2
3846,"drop,",1
3847,"Jacques,""",7
3848,interchange,5
3849,"effected,",1
3850,"toothpick,",2
3851,"grain
",1
3852,"cough,",2
3853,"line.
",2
3854,"often,""",1
3855,second,21
3856,"three,",5
3857,miserable,15
3858,beasts,2
3859,taste,7
3860,bread,7
3861,death.,3
3862,"so,
",3
3863,"Jacques?""
",4
3864,"so,",37
3865,"returned.
",2
3866,At,36
3867,"Defarge,
",6
3868,"composure,",2
3869,"another
",5
3870,vessel,1
3871,smacked,1
3872,"lips.
",3
3873,"""Ah!",10
3874,worse!,1
3875,"cattle
",1
3876,"mouths,",3
3877,lives,10
3878,"live,",2
3879,Jacques.,3
3880,Am,2
3881,response,3
3882,third,13
3883,completed,2
3884,"up,
",3
3885,slightly,5
3886,rustled,4
3887,"""Hold",3
3888,"True!""",1
3889,muttered,5
3890,husband.,9
3891,"""Gentlemen-",1
3892,"wife!""
",2
3893,hats,1
3894,flourishes.,1
3895,acknowledged,3
3896,homage,3
3897,bending,5
3898,"head,
",3
3899,giving,10
3900,look.,1
3901,Then,13
3902,casual,1
3903,apparent,3
3904,"calmness
",1
3905,repose,2
3906,absorbed,4
3907,"""Gentlemen,""",1
3908,"husband,",22
3909,observantly,1
3910,"""good",2
3911,day.,15
3912,"chamber,",2
3913,"furnished
",1
3914,"bachelor-fashion,",1
3915,wished,5
3916,fifth,2
3917,floor.,3
3918,doorway,4
3919,staircase,12
3920,gives,5
3921,courtyard,15
3922,"here,""
",1
3923,"""near",1
3924,window,18
3925,"establishment.
",3
3926,"remember,",6
3927,"Gentlemen,",1
3928,"adieu!""
",1
3929,studying,1
3930,"elderly
",1
3931,begged,2
3932,"word.
",4
3933,"""Willingly,",2
3934,"sir,""",19
3935,"door.
",7
3936,Their,6
3937,conference,4
3938,decided.,1
3939,Almost,3
3940,"word,",14
3941,deeply,5
3942,attentive.,1
3943,lasted,7
3944,"minute,",2
3945,"gentleman
",4
3946,beckoned,5
3947,"they,",3
3948,"eyebrows,",1
3949,"saw
",4
3950,"nothing.
",8
3951,emerging,2
3952,"thus,
",1
3953,joined,7
3954,before.,5
3955,stinking,1
3956,"black
",2
3957,"courtyard,",8
3958,entrance,2
3959,pile,3
3960,inhabited,1
3961,number,13
3962,people.,7
3963,"gloomy
",1
3964,tile-paved,2
3965,entry,1
3966,gloomy,11
3967,"staircase,",9
3968,knee,5
3969,"master,",1
3970,gentle,11
3971,"action,",6
3972,done;,2
3973,transformation,1
3974,seconds.,1
3975,good-humour,2
3976,openness,2
3977,aspect,5
3978,become,16
3979,"secret,",9
3980,"angry,",2
3981,high;,1
3982,difficult.,2
3983,"slowly.""
",2
3984,"Thus,",6
3985,ascending,2
3986,"stairs.
",1
3987,"alone?""",1
3988,latter,10
3989,"whispered.
",2
3990,"""Alone!",1
3991,God,12
3992,"him!""",4
3993,"other,",12
3994,low,38
3995,"voice.
",5
3996,"alone,",13
3997,"then?""
",2
3998,"""Of",9
3999,"desire?""
",1
4000,necessity.,1
4001,demanded,9
4002,discreet-,1
4003,"now.""
",4
4004,greatly,7
4005,"changed?""
",1
4006,"""Changed!""
",1
4007,strike,12
4008,mutter,1
4009,tremendous,5
4010,curse.,1
4011,forcible.,1
4012,grew,6
4013,"heavier,
",1
4014,companions,3
4015,ascended,5
4016,higher,4
4017,"higher.
",1
4018,Such,14
4019,"accessories,",1
4020,crowded,6
4021,parts,2
4022,now;,3
4023,vile,4
4024,indeed,4
4025,unaccustomed,1
4026,unhardened,1
4027,senses.,1
4028,Every,15
4029,habitation,1
4030,foul,3
4031,nest,1
4032,building-,1
4033,rooms,9
4034,"general
",2
4035,staircase-,1
4036,heap,16
4037,refuse,2
4038,"landing,",1
4039,"besides
",1
4040,flinging,1
4041,windows.,2
4042,uncontrollable,1
4043,hopeless,4
4044,mass,3
4045,decomposition,1
4046,"engendered,",1
4047,"polluted
",1
4048,poverty,5
4049,deprivation,1
4050,intangible,1
4051,impurities;,1
4052,sources,1
4053,combined,3
4054,insupportable.,1
4055,Through,5
4056,"atmosphere,",1
4057,steep,5
4058,"dark
",6
4059,shaft,1
4060,dirt,1
4061,"poison,",1
4062,lay.,1
4063,Yielding,1
4064,"disturbance
",1
4065,companion's,1
4066,"became
",1
4067,"instant,",4
4068,twice,7
4069,rest.,7
4070,Each,2
4071,stoppages,1
4072,doleful,3
4073,"grating,",1
4074,languishing,2
4075,airs,2
4076,"uncorrupted,",1
4077,"escape,
",1
4078,spoilt,2
4079,vapours,1
4080,crawl,1
4081,rusted,3
4082,"bars,",4
4083,"tastes,",1
4084,"glimpses,",1
4085,jumbled,1
4086,neighbourhood;,1
4087,"range,",2
4088,nearer,12
4089,"lower
",2
4090,summits,1
4091,towers,7
4092,"Notre-Dame,",1
4093,promise,13
4094,"aspirations.
",1
4095,"gained,",1
4096,upper,4
4097,"steeper
",1
4098,inclination,6
4099,contracted,2
4100,"dimensions,",1
4101,"ascended,",1
4102,garret,7
4103,reached.,1
4104,"advance,",5
4105,"took,",1
4106,dreaded,5
4107,"lady,
",1
4108,carefully,5
4109,feeling,9
4110,pockets,3
4111,coat,6
4112,"shoulder,",13
4113,"key.
",1
4114,"friend?""",2
4115,"surprised.
",1
4116,"""Ay.",1
4117,"Yes,""",1
4118,"retired?""
",1
4119,"key.""",1
4120,"whispered
",1
4121,closer,8
4122,"ear,",4
4123,frowned,2
4124,"heavily.
",1
4125,"""Why?""
",1
4126,"""Why!",1
4127,Because,3
4128,lived,9
4129,frightened-,1
4130,rave-,1
4131,tear,3
4132,pieces-,1
4133,die-,1
4134,harm-,1
4135,"open.""
",1
4136,"possible!""",2
4137,exclaimed,10
4138,bitterly.,1
4139,beautiful,8
4140,"possible,",7
4141,done-,1
4142,"see
",12
4143,you!-,1
4144,Long,9
4145,Devil.,1
4146,"us
",6
4147,"on.""
",7
4148,dialogue,4
4149,reached,1
4150,lady's,5
4151,ears.,3
4152,trembled,4
4153,"emotion,",1
4154,expressed,3
4155,"deep
",3
4156,"anxiety,",2
4157,above,18
4158,dread,13
4159,"terror,",2
4160,incumbent,2
4161,"reassurance.
",1
4162,"""Courage,",3
4163,miss!,2
4164,moment;,3
4165,"room-door,",1
4166,"Then,",23
4167,"relief,",2
4168,"happiness
",1
4169,begin.,1
4170,assist,4
4171,"well,",23
4172,Defarge.,24
4173,"Come,",2
4174,now.,8
4175,"Business,
",1
4176,"business!""
",1
4177,softly.,1
4178,top.,2
4179,abrupt,3
4180,whose,40
4181,together,19
4182,intently,1
4183,"belonged,",1
4184,chinks,3
4185,holes,3
4186,wall.,8
4187,On,28
4188,footsteps,16
4189,"turned,",7
4190,"rose,",4
4191,forgot,3
4192,surprise,6
4193,"visit,""",1
4194,explained,7
4195,"""Leave",1
4196,boys;,1
4197,glided,2
4198,"down.
",7
4199,appearing,4
4200,"floor,",7
4201,straight,18
4202,"alone,
",2
4203,"anger:
",1
4204,"""Do",30
4205,"seen,",11
4206,chosen,2
4207,"few.""
",1
4208,"well?""
",2
4209,"well.""
",4
4210,few?,1
4211,choose,2
4212,"them?""
",6
4213,name-,4
4214,Jacques,40
4215,good.,4
4216,Enough;,1
4217,English;,1
4218,thing.,5
4219,Stay,1
4220,admonitory,1
4221,gesture,3
4222,crevice,2
4223,Soon,3
4224,raising,12
4225,struck,48
4226,door-,1
4227,"object
",4
4228,noise,12
4229,"intention,",4
4230,drew,15
4231,"key
",1
4232,clumsily,1
4233,"lock,",2
4234,"could.
",2
4235,inward,2
4236,something.,2
4237,faint,13
4238,Little,6
4239,single,15
4240,syllable,2
4241,"side.
",3
4242,enter.,1
4243,daughter's,6
4244,"waist,",5
4245,"sinking.
",1
4246,"business!""",2
4247,"urged,",2
4248,moisture,2
4249,cheek.,2
4250,"in!""
",1
4251,"it,""",13
4252,"answered,",13
4253,"shuddering.
",1
4254,it?,8
4255,"What?""
",1
4256,Of,15
4257,"father.""
",3
4258,Rendered,1
4259,"desperate,",1
4260,beckoning,1
4261,"conductor,",2
4262,neck,4
4263,"little,",7
4264,room.,7
4265,clinging,6
4266,"him.
",47
4267,closed,20
4268,key,6
4269,"methodically,",1
4270,harsh,3
4271,accompaniment,1
4272,make.,3
4273,"Finally,",3
4274,measured,4
4275,tread,7
4276,"faced
",1
4277,"round.
",2
4278,"garret,",2
4279,built,3
4280,depository,1
4281,"like,
",1
4282,dark:,1
4283,dormer,1
4284,"shape,",1
4285,truth,7
4286,"door
",2
4287,"roof,",2
4288,crane,1
4289,hoisting,2
4290,"stores
",1
4291,street:,1
4292,"unglazed,",1
4293,closing,8
4294,"pieces,
",1
4295,construction.,1
4296,exclude,1
4297,"closed,",5
4298,"very
",9
4299,portion,3
4300,admitted,4
4301,"means,",2
4302,"difficult,",1
4303,anything;,2
4304,formed,10
4305,"one,
",2
4306,ability,2
4307,requiring,2
4308,nicety,1
4309,obscurity.,1
4310,"Yet,
",1
4311,garret;,1
4312,"back
",3
4313,"keeper
",1
4314,white-haired,4
4315,"low
",4
4316,"bench,",4
4317,stooping,5
4318,forward,14
4319,"busy,",4
4320,"shoes.
",2
4321,"VI
",3
4322,"SHOEMAKER
",1
4323,"""GOOD",1
4324,"DAY!""",1
4325,"bead
",1
4326,"shoemaking.
",2
4327,responded,4
4328,"salutation,",2
4329,"distance:
",1
4330,"""Good",19
4331,"day!""
",3
4332,"see?""
",2
4333,"silence,",7
4334,"replied,",6
4335,"working.""",1
4336,"haggard
",1
4337,"questioner,",1
4338,faintness,3
4339,pitiable,2
4340,dreadful.,1
4341,physical,1
4342,"weakness,",4
4343,confinement,1
4344,fare,1
4345,doubt,27
4346,deplorable,1
4347,peculiarity,3
4348,solitude,3
4349,disuse.,1
4350,"last
",13
4351,echo,3
4352,"lost
",3
4353,resonance,1
4354,affected,2
4355,"senses
",1
4356,faded,4
4357,weak,11
4358,stain.,1
4359,underground.,1
4360,"creature,",3
4361,"famished
",1
4362,"traveller,",1
4363,wearied,1
4364,lonely,7
4365,"wilderness,",1
4366,remembered,6
4367,friends,7
4368,lying,20
4369,"die.
",1
4370,silent,8
4371,passed:,1
4372,haggard,2
4373,again:,4
4374,"curiosity,",2
4375,"dull
",1
4376,mechanical,4
4377,"perception,",1
4378,"beforehand,",1
4379,visitor,6
4380,aware,2
4381,"stood,",6
4382,"empty.
",2
4383,"want,""",2
4384,removed,11
4385,gaze,2
4386,"shoemaker,",2
4387,here.,17
4388,"more?""
",2
4389,shoemaker,9
4390,work;,2
4391,vacant,3
4392,"listening,",2
4393,floor,9
4394,"similarly,",1
4395,upward,3
4396,"speaker.
",1
4397,"say?""
",8
4398,"light?""
",1
4399,"in.""",1
4400,(Laying,1
4401,palest,1
4402,"word.)
",1
4403,half-door,1
4404,"further,",2
4405,angle,2
4406,broad,6
4407,ray,5
4408,"garret,
",2
4409,workman,3
4410,unfinished,3
4411,shoe,9
4412,"lap,",1
4413,"pausing
",1
4414,labour.,1
4415,scraps,3
4416,leather,1
4417,feet,22
4418,bench.,2
4419,"beard,",2
4420,"cut,
",1
4421,hollow,6
4422,hollowness,1
4423,thinness,1
4424,caused,7
4425,"though
",2
4426,otherwise;,1
4427,unnaturally,1
4428,so.,29
4429,shirt,2
4430,withered,2
4431,"He,",4
4432,"old
",11
4433,canvas,1
4434,"frock,",1
4435,loose,10
4436,tatters,1
4437,"had,",19
4438,seclusion,1
4439,"faded
",1
4440,dull,8
4441,uniformity,1
4442,"parchment-yellow,",1
4443,"which.
",1
4444,transparent.,1
4445,steadfastly,4
4446,"vacant
",2
4447,"gaze,",1
4448,pausing,6
4449,figure,24
4450,associating,2
4451,sound;,3
4452,"spoke,",8
4453,"manner,",30
4454,forgetting,1
4455,"speak.
",2
4456,finish,6
4457,"to-day?""",1
4458,"asked
",4
4459,motioning,1
4460,"forward.
",1
4461,"to-day?""
",2
4462,reminded,6
4463,"forward,",4
4464,daughter,31
4465,minute,10
4466,"two,",10
4467,up.,9
4468,seeing,16
4469,"figure,
",1
4470,unsteady,2
4471,strayed,3
4472,lips,13
4473,(his,1
4474,nails,2
4475,"pale
",2
4476,"lead-colour),",1
4477,"once
",8
4478,shoe.,2
4479,"instant.
",1
4480,"visitor,",1
4481,"see,""",4
4482,"""Here",4
4483,"visitor.""
",1
4484,"before,",19
4485,"work.
",7
4486,"""Come!""",4
4487,"monsieur,",2
4488,knows,17
4489,"well-made
",1
4490,sees,4
4491,one.,12
4492,working,5
4493,at.,1
4494,Take,9
4495,"it,
",14
4496,"monsieur.""
",2
4497,"hand.
",12
4498,Tell,8
4499,monsieur,5
4500,maker's,2
4501,"name.""
",2
4502,longer,6
4503,"usual,",5
4504,"replied:
",2
4505,forget,7
4506,me.,41
4507,couldn't,3
4508,describe,4
4509,"shoe,",1
4510,"monsieur's
",1
4511,"information?""
",1
4512,walking-shoe.,1
4513,present,23
4514,mode.,2
4515,pattern,3
4516,"my
",45
4517,"hand.""",1
4518,touch,21
4519,"pride.
",1
4520,"name?""",2
4521,"hold,",2
4522,knuckles,2
4523,"right
",2
4524,bearded,1
4525,"changes,",1
4526,"moment's
",1
4527,intermission.,1
4528,task,6
4529,vagrancy,1
4530,sank,4
4531,"spoken,",6
4532,"weak
",2
4533,person,21
4534,"swoon,",2
4535,"endeavouring,",1
4536,"some
",19
4537,"disclosure,",2
4538,stay,4
4539,spirit,5
4540,fast-dying,1
4541,"name?""
",4
4542,"""Assuredly",1
4543,"did.""
",5
4544,"""One",9
4545,Hundred,7
4546,"Five,",6
4547,North,13
4548,"Tower.""
",2
4549,"all?""
",2
4550,"groan,",1
4551,"work
",2
4552,silence,16
4553,"broken.
",1
4554,"trade?""",1
4555,"looking
",8
4556,"transferred
",1
4557,him:,4
4558,"quarter,",1
4559,questioner,2
4560,sought,5
4561,"ground.
",7
4562,trade?,1
4563,trade.,1
4564,learnt,2
4565,taught,2
4566,myself.,5
4567,"to--""
",1
4568,lapsed,1
4569,ringing,9
4570,"changes
",1
4571,wandered;,1
4572,"resumed,",1
4573,"awake,
",1
4574,reverting,2
4575,"night.
",11
4576,teach,2
4577,"difficulty
",1
4578,"while,",8
4579,"since.""
",1
4580,"face:
",2
4581,"""Monsieur",4
4582,remember,20
4583,"me?""
",15
4584,"ground,",6
4585,fixedly,3
4586,"questioner.
",1
4587,"Manette"";",1
4588,Defarge's,17
4589,"arm;
",2
4590,"""do",3
4591,man?,3
4592,"Is
",2
4593,"banker,",1
4594,"servant,",5
4595,"time,
",4
4596,captive,2
4597,"fixedly,",1
4598,"turns,",1
4599,obliterated,2
4600,"actively
",1
4601,intelligence,4
4602,gradually,11
4603,"forced
",1
4604,overclouded,2
4605,"fainter,",1
4606,gone;,4
4607,"fair
",2
4608,crept,3
4609,frightened,5
4610,"compassion,",2
4611,extending,4
4612,trembling,2
4613,eagerness,2
4614,"spectral
",1
4615,warm,6
4616,"breast,",21
4617,love,39
4618,hope-,1
4619,(though,5
4620,stronger,8
4621,characters),1
4622,"her.
",22
4623,Darkness,3
4624,"two,
",1
4625,"attentively,",3
4626,abstraction,2
4627,"sought
",1
4628,"""Have",8
4629,"monsieur?""",1
4630,"whisper.
",2
4631,"""Yes;",4
4632,moment.,4
4633,"hopeless,",3
4634,unquestionably,3
4635,well.,7
4636,Hush!,3
4637,further,6
4638,back.,5
4639,"Hush!""
",1
4640,garret.,1
4641,bench,10
4642,sat.,2
4643,something,38
4644,awful,6
4645,unconsciousness,1
4646,touched,17
4647,stooped,5
4648,"labour.
",1
4649,made.,3
4650,beside,17
4651,"happened,",6
4652,"length,",5
4653,occasion,15
4654,change,20
4655,instrument,4
4656,shoemaker's,5
4657,knife.,2
4658,"side
",4
4659,"skirt
",1
4660,dress.,4
4661,face.,13
4662,"spectators
",1
4663,"She
",10
4664,fear,15
4665,striking,11
4666,"knife,",3
4667,"had.
",1
4668,fearful,6
4669,"lips
",3
4670,"words,",21
4671,proceeded,5
4672,"By
",1
4673,"degrees,",3
4674,pauses,3
4675,laboured,2
4676,"breathing,",3
4677,"say:
",2
4678,tears,16
4679,streaming,2
4680,kissed,13
4681,ruined,2
4682,gaoler's,3
4683,"daughter?""
",3
4684,sighed,1
4685,"""No.""
",8
4686,trusting,5
4687,tones,3
4688,"bench
",2
4689,"recoiled,",1
4690,"strange
",2
4691,thrill,2
4692,frame;,1
4693,"softly,",4
4694,"curls,",1
4695,"hurriedly
",1
4696,"aside,",4
4697,neck.,2
4698,Advancing,1
4699,"astray,",1
4700,long.,5
4701,Releasing,1
4702,"ann,",1
4703,doubtfully,1
4704,"neck,",5
4705,blackened,4
4706,string,2
4707,attached,6
4708,"carefully,",3
4709,contained,1
4710,hair:,1
4711,"hairs,",1
4712,"finger.
",2
4713,closely,5
4714,same.,4
4715,be!,5
4716,"it!""
",6
4717,concentrated,3
4718,conscious,7
4719,hers,3
4720,"""She",18
4721,summoned,15
4722,out-,1
4723,"going,",6
4724,none-,1
4725,Tower,1
4726,"sleeve.
",1
4727,'You,1
4728,them?,1
4729,"body,
",2
4730,spirit.',1
4731,said.,4
4732,speech,4
4733,"utter
",1
4734,"coherently,",1
4735,"slowly.
",2
4736,this?-,1
4737,Was,6
4738,spectators,6
4739,frightful,6
4740,suddenness.,1
4741,perfectly,8
4742,"grasp,
",1
4743,"gentlemen,",5
4744,"do
",12
4745,"move!""
",1
4746,"""Hark!""",2
4747,exclaimed.,1
4748,"""Whose",1
4749,"that?""
",5
4750,released,12
4751,uttered,7
4752,"cry,",7
4753,tore,6
4754,frenzy.,1
4755,shoemaking,4
4756,die,11
4757,refolded,1
4758,secure,3
4759,breast;,3
4760,"head.
",10
4761,"no,",10
4762,no;,2
4763,"young,",3
4764,blooming.,1
4765,be.,7
4766,"See
",1
4767,prisoner,72
4768,is.,4
4769,"knew,",5
4770,heard.,2
4771,no.,6
4772,Tower-,1
4773,ages,3
4774,"ago.
",3
4775,"angel?""
",1
4776,Hailing,1
4777,softened,6
4778,knees,5
4779,appealing,3
4780,"breast.
",2
4781,"""O,",1
4782,"mother
",3
4783,"hard,",8
4784,"history.
",1
4785,"All
",3
4786,pray,8
4787,"touch
",2
4788,bless,12
4789,Kiss,2
4790,me!,11
4791,"dear!""
",4
4792,mingled,5
4793,radiant,3
4794,"warmed
",1
4795,Freedom,2
4796,voice-,1
4797,is-,5
4798,sweet,12
4799,music,4
4800,weep,12
4801,"touch,",2
4802,touching,16
4803,recalls,2
4804,beloved,6
4805,breast,15
4806,"free,",6
4807,"If,",2
4808,hint,2
4809,Home,2
4810,"where
",10
4811,duty,12
4812,"faithful
",2
4813,"service,",4
4814,remembrance,7
4815,"desolate,",2
4816,"while
",8
4817,pined,1
4818,rocked,1
4819,"breast
",1
4820,"child.
",4
4821,"""If,",3
4822,dearest,6
4823,"over,",8
4824,"England
",2
4825,peace,2
4826,"life
",8
4827,"waste,",3
4828,native,6
4829,wicked,8
4830,"if,",1
4831,"living,",3
4832,learn,1
4833,implore,2
4834,pardon,1
4835,sake,6
4836,striven,1
4837,lain,1
4838,awake,1
4839,wept,6
4840,hid,6
4841,torture,2
4842,"me,
",7
4843,Weep,1
4844,"Good
",1
4845,God!,3
4846,feel,18
4847,sobs,1
4848,"O,",4
4849,see!,2
4850,Thank,4
4851,"God!""
",1
4852,breast:,2
4853,"sight
",1
4854,"touching,",2
4855,wrong,4
4856,"suffering
",1
4857,beholders,1
4858,"faces.
",1
4859,"undisturbed,",1
4860,heaving,3
4861,shaken,4
4862,yielded,6
4863,calm,7
4864,storms-,1
4865,emblem,2
4866,"humanity,",2
4867,"silence
",3
4868,storm,8
4869,hush,2
4870,last-,2
4871,raise,8
4872,ground.,4
4873,"lethargy,",2
4874,nestled,1
4875,lie,3
4876,curtained,1
4877,"light.
",1
4878,disturbing,3
4879,"him,""",5
4880,blowings,1
4881,"nose,
",1
4882,"""all",1
4883,arranged,4
4884,"once,",5
4885,"away--""
",1
4886,"""But,",5
4887,consider.,2
4888,"journey?""",1
4889,"""More",2
4890,remain,9
4891,"city,",9
4892,"him.""
",9
4893,"true,""",4
4894,kneeling,3
4895,"hear.
",1
4896,that;,4
4897,"reasons,",4
4898,"Say,",1
4899,hire,1
4900,carriage,28
4901,"post-horses?""
",1
4902,"business,""",5
4903,resuming,4
4904,shortest,1
4905,"notice
",3
4906,manners;,1
4907,"better
",10
4908,"""Then",13
4909,"kind,""",1
4910,urged,2
4911,"""as",4
4912,"become,",2
4913,be?,2
4914,lock,1
4915,"interruption,",1
4916,"case,",11
4917,"return,",5
4918,Both,4
4919,disinclined,1
4920,"course,
",1
4921,remaining.,1
4922,"to,",6
4923,papers;,1
4924,"pressed,",2
4925,"end,",11
4926,hastily,1
4927,dividing,1
4928,hurrying,2
4929,"down
",13
4930,"deepened,",2
4931,"quiet,",7
4932,"light
",4
4933,gleamed,3
4934,ready,19
4935,"journey,
",1
4936,cloaks,1
4937,"wrappers,
",1
4938,"meat,",3
4939,coffee.,1
4940,"provender,",1
4941,"carried,",1
4942,"(there
",1
4943,else,13
4944,pallet,1
4945,"bed),",1
4946,"captive,",2
4947,"feet.
",3
4948,"mind,
",2
4949,scared,2
4950,wonder,10
4951,Whether,10
4952,recollected,1
4953,questions,4
4954,sagacity,2
4955,solved.,1
4956,"confused,",1
4957,fright,3
4958,"bewilderment,",2
4959,agreed,2
4960,tamper,1
4961,more.,10
4962,"wild,",4
4963,clasping,5
4964,before;,2
4965,"yet,",14
4966,"sound
",3
4967,invariably,2
4968,"spoke.
",2
4969,submissive,7
4970,accustomed,6
4971,obey,3
4972,"coercion,
",1
4973,drank,16
4974,gave,27
4975,eat,8
4976,cloak,2
4977,"wrappings,",1
4978,wear.,2
4979,"readily
",1
4980,took-,1
4981,kept-,1
4982,"own.
",3
4983,descend;,1
4984,"lamp,
",2
4985,procession.,1
4986,traversed,4
4987,steps,16
4988,main,4
4989,roof,3
4990,"walls.
",1
4991,father?,2
4992,"here?""
",2
4993,repeat,6
4994,"question,",12
4995,murmured,5
4996,"answer
",2
4997,"""Remember?",1
4998,remember.,2
4999,recollection,1
5000,whatever,8
5001,"house,",16
5002,"mutter,
",1
5003,"Tower;""",1
5004,fortress-walls,1
5005,"long
",14
5006,encompassed,4
5007,reaching,1
