artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location
Fraser,Laura Gardin,,Isaiah Bowman,1955,bronze,21218,Johns Hopkins University,N. Charles St.,,Shriver Hall,,,,Y,"N. Charles St.
21218
(39.33912699769189, -76.61835828737432)"
Ridenour,Ray,,,1999,mural,21230,38 E. Cross St.,38 E. Cross St.,,Side of No Way Jose Café,"Cars, ship, canons, houses with Federal Hill at the top",Visible (on side of restaurant/ bar near Cross St. Market in Federal Hill),,,"38 E. Cross St.
21230
(39.27695686580637, -76.61306128062176)"
Negri,Mario,,Seen from a Wall in the Memory,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
James and Mural Masters,Shawn,,,2004,mural,21230,Wicomico and Bayard Sts.,Wicomico and Bayard Sts.,,Side of building,Gwynns Falls Trail; trees,Visible,,,"Wicomico and Bayard Sts.
21230
(39.266940000000034, -76.62630000000001)"
Niebauer,William,https://data.baltimorecity.gov/views/5xsg-uc29/files/gUVwrS6E5h9S8V9Dfp-tIjv2oiCuV-jYy3muglyq_So?filename=562_Niebaur+W_2004.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,Triaxial Link,2004,concrete,21201,Inner Harbor Promenade,100 Light St,,Near the Baltimore Visitor Center facing the promenade,3 concrete arcs sitting open end up,Very visible (at Inner Harbor),,,"100 Light St
21201
(39.294880000000035, -76.62253999999996)"
Rogers,Terry P.,,Unknown,1981,mural,21202,Civil Services Renovation,111 N. Calvert St.,,Interior,,,,,"111 N. Calvert St.
21202
(39.29078843861703, -76.61229685689682)"
Manzu,Giacomo,,Young Girl on a Chair,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Hofmann,Earl,,Unknown,1969,gunite,21213,Fort Worthington ES,2701 E. Oliver St.,PS  85,Exterior - may have been removed from vandalism,,,,,"2701 E. Oliver St.
21213
(39.307993578400705, -76.57999027239782)"
"Mills, architect and Causici, artist",Robert and Henrico,,Washington Monument,1815-29,marble,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,center of circle,,Highly Visible,outdoor accessible,Y,"Mount Vernon Pl.
21201/02
(39.29730928950913, -76.61563717252402)"
Majorowicz,Roger L.,,Paestum,1969,stainless steel and bronz,21231,Broadway Branch Library,1700 Orleans St.,,Corner of Orleans and Broadway,,,,,"1700 Orleans St.
21231
(39.295367113283696, -76.59393110179518)"
Drumm,Don,,Unknown,,weathering steel,21213,Harford Heights ES,1901 N. Broadway,PS  36,Interior; stairwell,,,,,"1901 N. Broadway
21213
(39.31218396061025, -76.59495781180001)"
Kramer,Reuben,,Unknown,,,21201,Maryland State Office Building,301 W. Preston St.,,,,,,,"301 W. Preston St.
21201
(39.30183211313681, -76.62256711447145)"
Bufano,Benjamin,,Snail,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University
21218
(39.32947000000013, -76.60331999999988)"
Hosler,Danamarie,,,2008,mural,21218,21st street & Boone,548 East 21st Street,,"Side of rowhouse, garden infront",stylized children and plants,Very Visible,,,"548 East 21st Street
21218
(39.31359634135141, -76.60923370933864)"
Shermeta,Margo,,Unknown,1978,fiber,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda
21218
(39.32849701130556, -76.59533564342422)"
Mullen with Community Youth,Gary,,And Still We Rise,2001,mural,21223,N. Stricker and W. Franklin Sts.,N. Stricker and W. Franklin Sts.,,Side of building,"Depiction of the African American struggle to succeed, with ultimate success",Visible,,,"N. Stricker and W. Franklin Sts.
21223
(39.28365000000008, -76.65196999999989)"
Johnson,Gerald,,Unknown,1997,photographic display case,21212,Guilford ES,4520 York Rd.,PS 214,Interior; main entrance lobby,,,,,"4520 York Rd.
21212
(39.3440443106837, -76.60963380775476)"
Henry,Greg,,,1996,Steel,21217,Mt. Royal & Lanvale Streets - Median,1300 Mt. Royal Avenue,,Median,Large Sculpture with Rooster on Top,Very Visible,,,"1300 Mt. Royal Avenue
21217
(39.30750188439189, -76.62114988191786)"
Greenamyer,George Mossman,,Engine Company 43,1985,steel,21239,Fire Station #43,1100 Walters Ave.,,Chinaquapin Street,,,,,"1100 Walters Ave.
21239
(39.359020000980024, -76.59695442307697)"
Edmister,Stan,,Lakeland Playfield,,painted steel,21230,Wegworth Park playground,2752 Wegworth Ln.,,entire park playground,,,,,"2752 Wegworth Ln.
21230
(39.25377234389106, -76.6417586465767)"
James,Shawn,,,1999,mural,21230,1170 Carroll St.,1170 Carroll St.,,Side of building facing Ostend St.,Representative images of community and Baltimore,Visible,,,"1170 Carroll St.
21230
(39.280967842057066, -76.63281938560544)"
Cohen and Community Youth,Jay Wolf Schlossberg,,,2002,mural,21223,Monroe St. and Lauretta Ave.,Monroe St and Lauretta Ave.,,Side of building with park,Calls for peace and non-violence in community,Limited visibilty as inside park area,,,"Monroe St and Lauretta Ave.
21223
(39.29449364537777, -76.64727149061633)"
van Rossum,Peter,,Untitled,1967,brick,21223,James McHenry ES,31 S. Schroeder St.,PS  10,Front façade,,,,,"31 S. Schroeder St.
21223
(39.28762282507387, -76.63370971441446)"
Volkman,Mark,,Unknown,1978,brick wall hanging,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda
21218
(39.32849701130556, -76.59533564342422)"
Ito,Saburo,https://data.baltimorecity.gov/views/5xsg-uc29/files/PwG5FHFVw1zinPWW3eqKjMSEIXsPeiohKa57z3hheHg?filename=752_Ito+S_+1984.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,Yuai,1984,stone,21230,Inner Harbor,,,"southside, east of Science Center","stone column and plaque from Baltimore's sister city, Kawasaki, Japan",Visible from within harbor,,,"21230
(39.266940000000034, -76.62630000000001)"
Silver,Jonathan,https://data.baltimorecity.gov/views/5xsg-uc29/files/Ext_6EFXsI1V1rn4bSjex3C3n257iT0DI5G3iwpU-jI?filename=16b_Silver+J_1984.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary,Birth of Venus,1984,bronze,21201,Charles Center,31 Hopkins Plaza,,South of the Mechanic Theater,7' cast bronze of Venus,moderate,Outdoor accessible,,"31 Hopkins Plaza
21201
(39.289250243493235, -76.61627047323799)"
Tyson,Donald,,,2008,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Suspensky,Thomas G.,,Unknown,1974,ceramic tile,21210,Roland Park ES,5207 Roland Ave.,PS 233,Interior- addition,,,,,"5207 Roland Ave.
21210
(39.35696055353293, -76.63479789406995)"
Hilson,Harry,,Unknown,1969,fiberglass,21214,Woodholme ES,7300 Moyer Ave.,PS 205,Courtyard,,,,,"7300 Moyer Ave.
21214
(39.35158999999999, -76.56538999999992)"
Speiregen,Paul D.,,Vietnam Veteran's Memorial Monument,1989,granite and aluminum?,21225,Middle Branch Park,2825 S. Hanover St.,,Near Patapsco river,,,,Y,"2825 S. Hanover St.
21225
(39.253452316703886, -76.61665320393509)"
Luery,Susan,,Unknown,1977,polyester resin,21216,Central Rosemont Recreation Center,2621 Winchester St.,,"Interior, partially destroyed by fired and arson - in process of re-commissioning",,,,,"2621 Winchester St.
21216
(39.30144758890202, -76.66106104838957)"
Glazer,Helen,,Ursa Major and Ursa Minor,1993,mural,21223,1224 W. Lombard St.,1224 W. Lombard St.,,Side of building,Constellations: Ursa Major and Ursa Minor; The Great Bear and the Little Bear,Visible,,,"1224 W. Lombard St.
21223
(39.286570618299606, -76.63743290761579)"
Goodman,Seth,,,2008,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,"abstract design, cellular pink and grey",Visible in corner area,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
von Schlegell,David,,Untitled,1978,painted aluminum,21230,Southern HS,1100 Covington St.,PS  70,Entrance plaza,,,,,"1100 Covington St.
21230
(39.27664210309615, -76.60693689760222)"
Krebs,Rockne,,The Vine Covered Pasarelle,,,21215,"Reisterstown Plaza Station, subway","Reisterstown Plaza Station, subway",,,,,,,"Reisterstown Plaza Station, subway
21215
(39.34556999999995, -76.68362000000002)"
"Arnold, Veale, Gray, Mason, Waters-Eller","Derek, Archie, Nichole…",,,1995,mural,21201,Howard and Franklin Sts.,Howard and Franklin Sts.,,Side of building facing Howard St.,3 murals of varying scenes (multiple artists),Very visible,,,"Howard and Franklin Sts.
21201
(39.294880000000035, -76.62253999999996)"
unknown,,,Market Fountain,,,21201,,Redwood St. and Market Pl.,,,,,,,"Redwood St. and Market Pl.
21201
(39.294880000000035, -76.62253999999996)"
Scuris,Theodore,,Give Peace A Chance,1970,aluminum,21218,Johns Hopkins University,N. Charles St.,,"Wyman Quad ""lower quad'",,,,Y,"N. Charles St.
21218
(39.33912699769189, -76.61835828737432)"
Birchler,Susan,,,1987,mural,21225,Cherry Hill,600 Cherry Hill Rd.,,,,,,,"600 Cherry Hill Rd.
21225
(39.25000418458825, -76.62289087040199)"
Hanson,J.B.,,Unknown,1978,wall hangings,21212,Govans Multipurpose Center,5225 York Rd.,,Interior,,,,,"5225 York Rd.
21212
(39.35373198744776, -76.60983271453654)"
Kaslow,Lisa,,Unknown,1993,free-standing sculpture,21213,Brehms Lane ES,3536 Brehms Ln.,PS 231,Interior; auditorium,,,,,"3536 Brehms Ln.
21213
(39.32090673337831, -76.56642244018224)"
Rothschild,Amalie,,Unknown,1980,acrylic windows,21207,Forest Park HS,4300 Chatham Rd.,PS 406,Interior,,,,,"4300 Chatham Rd.
21207
(39.33075965705877, -76.68973533631352)"
Haliday and Bauer,Robert and Irvin,,Cook's Memorial,1941,,21213,Clifton Park,Clifton Park,,Rose garden,,,,Y,"Clifton Park
21213
(39.316199999999924, -76.57662999999991)"
"McRaney, Kohilas, Konsalas, Perrelli, Cavocos","Shawn, Xenofon, et al",,,2004,mural,21224,503 Oldham St.,503 Oldham St.,,Back of building with parking lot,Greek life images,Visible from street,,,"503 Oldham St.
21224
(39.28703448054869, -76.55570960997416)"
Ezekiel,Moses J.,,Edgar Allan Poe,1915,bronze,21211,Wyman Park Dr. and 29th St.,Wyman Park Dr. and 29th St.,,,,,,,"Wyman Park Dr. and 29th St.
21211
(39.33100999999999, -76.63518999999991)"
"Valk, III",Arthur D.,,Holocaust Memorial,,,21202,Gay and Water Streets,Gay and Water Sts.,,,,,,,"Gay and Water Sts.
21202
(39.297300000000064, -76.60749999999996)"
Scott,Oliver Patrick,,OM,1978,mayari r steel,21217,Constant Care Community Health Center,1501 Division St.,,Entrance façade,,,,,"1501 Division St.
21217
(39.303082170757534, -76.63195603645732)"
Stevens,David,,Unknown,1989,stained glass,21215,Arlington ES,3705 W. Rogers Ave.,PS 234,Interior; front façade,,,,,"3705 W. Rogers Ave.
21215
(39.35061134000608, -76.6853577785572)"
Witkin,Issac,,Chorale,1981,painted steel,21202,Social Security Metro West,490 N. Greene St.,,Corner Greene / Franklin,,,,,"490 N. Greene St.
21202
(39.297300000000064, -76.60749999999996)"
Meizlik,Jeffrey N.,,Unknown,,clay,21230,Francis Scott Key E/MS,1425 E. Fort Ave.,PS  76,Entrance lobby wall,,,,,"1425 E. Fort Ave.
21230
(39.26921370313414, -76.59438236207319)"
Gregory,R. Thomas,,Unknown,1996,photographic mural,21218,Thomas Jefferson ES,605 Dryden Dr.,PS 232,Interior; main entrance lobby,,,,,"605 Dryden Dr.
21218
(39.32947000000013, -76.60331999999988)"
Leizman,William,,Unknown,,weathering steel,21224,Southeast MS,6820 Fait St.,PS 255,Interior; hallway off main lobby,,,,,"6820 Fait St.
21224
(39.28482430743772, -76.53075540992066)"
Veale,Archie,,,1994,mural,21223,400 N. Pulaski St.,400 N. Pulaski St.,,Side of wall on Pulaski St.,Boy planting seeds,Very visible,,,"400 N. Pulaski St.
21223
(39.292804555825306, -76.65038238493479)"
Rogers,Richard,,Unknown,1977,mural,21205,Tench Tilghman ES,601 N. Patterson Park Ave.,PS  13,Interior,,,,,"601 N. Patterson Park Ave.
21205
(39.29803697417316, -76.58508337229023)"
Brown,Dick,,Bluebird of Happiness,,mosaic tile/concrete sculpture,21230,American Visionary Art Museum,800 Key Highway,,"At entrance of employee parking, south of main entrance",4' mosaic sculpture of a bluebird,Very visible,Outdoor Accessible,,"800 Key Highway
21230
(39.28022140477276, -76.60655918234988)"
Sheppard,Joseph,,The Flame at the Holocaust Memorial,1987,bronze,21202,Holocaust Memorial,Lombard and Gay Sts.,,,,,,Y,"Lombard and Gay Sts.
21202
(39.297300000000064, -76.60749999999996)"
Bufano,Benjamin,,Elephant,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University
21218
(39.32947000000013, -76.60331999999988)"
Carfagno Ferguson,Mary,,,1998,mural,21230,1219 Bayard St.,1219 Bayard St.,,Side of building,Men playing horseshoes,Visible,,,"1219 Bayard St.
21230
(39.2790342996941, -76.6360119788095)"
Daniel,Paul,,Titan,1978,corten & steel,21207,Liberty ES,3901 Maine Ave.,PS  64,Rear plaza off lobby,,,,,"3901 Maine Ave.
21207
(39.326392597757035, -76.68362208704065)"
unknown,,,Saint Lo Monument,1947,,21213,Saint Lo Dr.,St. Lo Dr.,,,,,,Y,"St. Lo Dr.
21213
(39.32070376095271, -76.58989605599857)"
Bufano,Benjamin,,Cat,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University
21218
(39.32947000000013, -76.60331999999988)"
Ezekiel,Moses J.,,Poe Monument,1915,,21217,"University of Baltimore, Law Library",Mt. Royal and Maryland Ave.,,Entrance plaza,,,,Y,"Mt. Royal and Maryland Ave.
21217
(39.31194000000011, -76.64039000000002)"
Bartholmew,Edward Scheffield,,George Washington,1857,marble,21217,Druid Hill Park,Druid Hill Park,,,,,,Y,"Druid Hill Park
21217
(39.316007473609055, -76.64384898808959)"
unknown,,,Cylburn Lions,c.1850?,marble,21209,Cylburn Park,4915 Greenspring Ave.,,Two at eastern and two at perenial garden entrances,,,,,"4915 Greenspring Ave.
21209
(39.35073724509016, -76.65955622953658)"
Streett,Tylden,,Unknown,1971,metal,21213,Brehms Lane ES,3536 Brehms Ln.,PS 231,Interior,,,,,"3536 Brehms Ln.
21213
(39.32090673337831, -76.56642244018224)"
unknown,,,Boy With Fish,,,21210,,"5300 block, St. Alban's Way",,,,,,,"5300 block, St. Alban's Way
21210
(39.358510000000024, -76.63551999999993)"
Rehart,Ingrid,,Unknown,1975,mural,21224,William Paca ES,200 N. Lakewood Ave.,PS  83,Exterior,,,,,"200 N. Lakewood Ave.
21224
(39.29517713012001, -76.57922878587948)"
Wilson,Edward,,Unknown,1984/02,bronze,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,Lobby,,,,,"2301 Gwynns Falls Pkwy.
21217
(39.31568167238805, -76.65537438210032)"
unknown,,,Harbor Sound Bell,,,21202,"Fingers Pier, Inner Harbor",,,,,,,,"21202
(39.297300000000064, -76.60749999999996)"
Drumm,Don,,Solar Totum IV,1975,corten steel,21213,Harford Heights ES,1901 N. Broadway,PS  36,Entrance plaza,,,,,"1901 N. Broadway
21213
(39.31218396061025, -76.59495781180001)"
Bergner,Joel,,,2008,mural,21202,"JFX Farmers Market, outside of parking lot",212 Holliday Street,,column outside of parking lot north side,"scene of Mayan emblem, corn growin",Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Schuler,Hans,,Sidney Lanier Monument,1941,bronze and unpolished granite,21218,Johns Hopkins University,N. Charles St. near University Pkwy.,,N. Charles at University Parkway W,,,,Y,"N. Charles St. near University Pkwy.
21218
(39.32947000000013, -76.60331999999988)"
Anderson,Ronald,,Unknown,1986,concrete,21230,Southern District Police Station,10 Cherry Hill Rd.,,Cherry Hill and Hanover corner,,,,,"10 Cherry Hill Rd.
21230
(39.266940000000034, -76.62630000000001)"
Moore,Henry,,Conception,,,21201,Convention Center Lobby -SOLD,Convention Center Lobby - SOLD,,,,SOLD,SOLD,,"Convention Center Lobby - SOLD
21201
(39.294880000000035, -76.62253999999996)"
English,Deborah,,,1989,mural,21217,711 N. Carey St.,711 N. Carey St.,,,,,,,"711 N. Carey St.
21217
(39.29702973350038, -76.63862001269445)"
James and Mural Masters,Shawn,,,2004,mural,21230,1620 Bush St.,1620 Bush St.,,Side of building,Gwynns Falls Trail; peace sign,Visible,,,"1620 Bush St.
21230
(39.27469956751287, -76.63308018899397)"
Calder,Alexander,,Four Dishes,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Dr.,,,,,,,"10 Art Museum Dr.
21218
(39.325933943522045, -76.61823238229022)"
Marcheschi,Cork,,,2007,"sculpture - neon, aluminum & resin",21224,SE. Anchor Branch of the Enoch Pratt Library,3601 Eastern Avenue,,Starts outside front entrance of building & goes into artium,Encased neon outside that leads to indoor element; 5 colorful resin pods that are illuminated,Very Visible,,N,"3601 Eastern Avenue
21224
(39.286642564061935, -76.56680914865484)"
"Hodges and Leach, architects",,,Maryland Line Monument,1901,,21217,Mt. Royal Ave. at Cathedral St.,Mt. Royal Ave. at Cathedral St.,,,,,,Y,"Mt. Royal Ave. at Cathedral St.
21217
(39.31194000000011, -76.64039000000002)"
Remington,Bill,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
Leizman,William,,Untitled,,,21205,Monument Street Association Parking Lot,Collington and McElderberry Sts.,,,,,,,"Collington and McElderberry Sts.
21205
(39.302410000000066, -76.56324999999987)"
Halegua,Alfredo,,"Untitled ""Turning Point""",1969,aluminum,21216,Walbrook HS,2000 Edgewood St.,PS 411,Courtyard,,,,,"2000 Edgewood St.
21216
(39.31021379444991, -76.67596885657127)"
Mahoney,Erin,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,very visible,,,"212 Holliday Street
21202
(39.29146211325886, -76.61031346272442)"
McRaney,Shawn,,,1999,mural,21216,Walbrook Junction Shopping Center parking lot,3411 Clifton Ave.,,Side of east wall of  Walbrook Junction Shopping Center Parking Lot,"Public transportation, including",Visible (on side wall of Walbrook Junction Shopping Center),,,"3411 Clifton Ave.
21216
(39.31096922495453, -76.67455692098531)"
Weinman,Adolph A.,,BMA Relief - 'To the Fine Arts',1930,limestone,21218,Baltimore Museum Of Art,10 Art Museum Dr.,,Relief in front of museum,,,,,"10 Art Museum Dr.
21218
(39.325933943522045, -76.61823238229022)"
Wyland,Unknown,,,1993,mural (non-city funded),21230,Russell and Hamburg Sts.,Russell and Hamburg Sts.,,Side of building facing Russell St.,Whales under water,Very visible,,,"Russell and Hamburg Sts.
21230
(39.266940000000034, -76.62630000000001)"
Glazer,Helen,,Unknown,1995,tactile relief mural,21214,Garrett Heights ES,2800 Ailsa Ave.,PS 231,Interior; cafeteria lobby,,,,,"2800 Ailsa Ave.
21214
(39.348378845210746, -76.56843165621679)"
Schultz,Judith,,The Butterflies,1979,fiber,21218,Margaret Brent ES,100 E. 26th St.,PS  53,Stairwell of main lobby,,,,,"100 E. 26th St.
21218
(39.31945812685201, -76.6159163457684)"
Ihara,Michio,,Untitled,1978,stainless steel,21202,Verizon Building,1 E. Pratt St.,,,,,,,"1 E. Pratt St.
21202
(39.28651665897786, -76.61419442637867)"
Shore and Area skateboarders,Tony,,,2000,mural,21230,James St. near Ramsey St.,James St. near Ramsey St.,,Side of wall on James St.,Skateboarders,Limited visibilty,,,"James St. near Ramsey St.
21230
(39.266940000000034, -76.62630000000001)"
Kitson,Theodora Alice Ruggles,,"U.S. Spanish-American War Memorial (""The Hiker"")",original cast c. 1921,,21224,North Lakewood Ave. and E. Fayette St.,N. Lakewood Ave. and E. Fayette St.,,,,,,Y,"N. Lakewood Ave. and E. Fayette St.
21224
(39.29451163181835, -76.57919281299831)"
Halegua,Alfredo,,Colossus I (fountain),1972,corten steel,21201,Waxter Center for Senior Citizens,861 Park Ave.,,Entrance plaza,,,,,"861 Park Ave.
21201
(39.30077091314223, -76.61859211110192)"
Zopf,Fernanda,,Unknown,1974,concrete,21217,William H. Pinderhughes ES,1200 N. Freemont Ave.,PS  28,Front lawn,,,,,"1200 N. Freemont Ave.
21217
(39.30253732325122, -76.63642794927624)"
"Valk, III",Arthur D.,,Freedom Park,,,21202,Lloyd and Watson Sts.,Lloyd and Watson Sts.,,,,,,,"Lloyd and Watson Sts.
21202
(39.297300000000064, -76.60749999999996)"
unknown,,,Veterans Monument,1945,,21217,Payson St. and Ramsey St.,Payson St. and Ramsey St.,,,,,,Y,"Payson St. and Ramsey St.
21217
(39.31194000000011, -76.64039000000002)"
Streett,Tylden,,Sails,1978,copper,21231,Patterson HS,100 Kane St.,,Second story window,,,,,"100 Kane St.
21231
(39.28823000000011, -76.59190000000001)"
Ellsberry,John,,,1998,mural,21230,Ramsay and Cross Sts.,Ramsay and Cross Sts.,,Side of Baltimore and Ohio Railroad Museum,Train; three figures working,Visible,,,"Ramsay and Cross Sts.
21230
(39.266940000000034, -76.62630000000001)"
Brown,James,,Unknown,1970,ceramics,21213,Lake Clifton HS,2801 St. Lo Dr.,PS 40,Interior,,,,,"2801 St. Lo Dr.
21213
(39.31751628932784, -76.58839287735805)"
van Rossum,Peter,,Untitled,1969,brick sculptured wall,21230,Light St. Library,1251 Light St,,Exterior,,,,,"1251 Light St
21230
(39.27490641157959, -76.61205403994893)"
Lawrence,Charles,,Soying Seeds of Sandtown,1998,mural (non-city funded),21217,1139 N. Gilmore St.,1139 N. Gilmore St.,,Side of building with community park,"Two men, garden, and woman and a girl; houses in background",Limited visibilty,,,"1139 N. Gilmore St.
21217
(39.3015526379558, -76.6430238325883)"
,,,Sundial,,,21217,Druid Hill Park,Druid Hill Park,,,,,,,"Druid Hill Park
21217
(39.316007473609055, -76.64384898808959)"
unknown,,,World War II Memorial Shaft,,,21217,Fifth Regiment Armory,219 W. Hoffman St,,,,,,,"219 W. Hoffman St
21217
(39.31194000000011, -76.64039000000002)"
Mullen,Gary,,,1999,mural,21201,801 McCulloh St.,801 McCulloh St.,,West wall of Arena Players' building,Artists and musicians,Visible,,,"801 McCulloh St.
21201
(39.29868448603429, -76.62299878904554)"
Mason,Pontella,,,1990,mural,21217,1611 Carey St.,1611 Carey St.,,East/ odd side of street on wall of an open warehouse near playground and open field,Famous African Americans with African flags at bottom of mural,Visible,,,"1611 Carey St.
21217
(39.3077757819037, -76.6413821657709)"
Hess,David,,"Baltimore Passage, Albermarle Squre",2006,copper and stainless steel,21202,Albermarle Square,Median on 900 Block of East Lombard Street,,Median on East Lombard Street between Abermarle & High,Cooper boat shaped sculpture with a Stainless steel ball mounted to the top,Very visible,Outdoor Accessible,,"Median on 900 Block of East Lombard Street
21202
(39.297300000000064, -76.60749999999996)"
Rauschenberg,Robert,,Bank Job,,,21201/2,Equitable Bank Center,Lombard and Charles Sts. - GONE,,Lobby,No longer there,,,,"Lombard and Charles Sts. - GONE
21201/2
(39.294880000000035, -76.62253999999996)"
Reed,James Earl,,Unknown,1983/03,epoxy resin,21229,Lyndhurst ES,621 Wildwood Pkwy.,PS  88,Exterior,,,,,"621 Wildwood Pkwy.
21229
(39.29529404198382, -76.6839278565306)"
Turnbull,Grace,,Reese Monument,1939,marble,21213,Lake Clifton HS,2801 St. Lo Dr.,PS  40,,,,,Y,"2801 St. Lo Dr.
21213
(39.31751628932784, -76.58839287735805)"
Hoffmaster,Thomas,,Unknown,1971,metal sculpture,21217,Druid Health District Building,1501 W. North Ave.,,Interior- addition,,,,,"1501 W. North Ave.
21217
(39.310050554187534, -76.6411534591562)"
Berge and Miller,Edward and J. Maxwell,,Latrobe Monument,1914,bronze,21231,Broadway and E. Baltimore Sts.,Broadway and E. Baltimore Sts.,,,,,,Y,"Broadway and E. Baltimore Sts.
21231
(39.28823000000011, -76.59190000000001)"
Bonet,Jordi,,Unknown,1969,aluminum wall relief,21213,Lake Clifton HS,2801 St. Lo Dr.,PS  40,Interior,,,,,"2801 St. Lo Dr.
21213
(39.31751628932784, -76.58839287735805)"
Wilson,Edward N.,,Unknown,1970,metal sculpture,21213,Lake Clifton HS,2801 St. Lo Dr.,PS  40,Interior,,,,,"2801 St. Lo Dr.
21213
(39.31751628932784, -76.58839287735805)"
unknown,,,Fell Family Memorial,1743-86,,21231,1607 Shakespeare St.,1607 Shakespeare St.,,,,,,Y,"1607 Shakespeare St.
21231
(39.28205602171255, -76.59452625359785)"
Wells,Betty,,Unknown,1969,ceramic tiles,21217,Furman L. Templeton ES,1200 N. Pennsylvania Ave.,PS 125,Bridge over street,,,,,"1200 N. Pennsylvania Ave.
21217
(39.299507365976886, -76.62976664033435)"
Ihara,Micho,,A Bird Flying North,1971,burnished aluminum,21225,Bay-Brook ES,4301 Tenth St.,PS 124,Front lawn,,,,,"4301 Tenth St.
21225
(39.22664879148738, -76.59973332814752)"
Kissack and Ross,Lyle and Gerald,,,1997,mural,21205,1000 N. Patterson Park Ave.,1000 N. Patterson Park Ave.,,Side of building,Images of steel industry,Visible,,,"1000 N. Patterson Park Ave.
21205
(39.30189570183552, -76.58539753018476)"
Wells,Betty,,Unknown,1973,galvanized playground str,21215,Towanda Recreation Center,4100 Towanda Ave.,,Exterior - Towanda and Aswego,,,,,"4100 Towanda Ave.
21215
(39.33504078211094, -76.66643772776918)"
Tyson,Donald,,,2008,mural,21217,2043 Pennsylvania Avenue,2043 Pennsylvania Avenu,,side of rowhouse/liquor store,collage of Penn Ave music culture,Visible to  northward traffic,,,"2043 Pennsylvania Avenu
21217
(39.30646362158774, -76.6381793449001)"
Berge,Edward,,On the Trail,1915,bronze,21213,Clifton Park,Clifton Park,,,,,,,"Clifton Park
21213
(39.316199999999924, -76.57662999999991)"
Mullen,Gary,,,2000,mural,21202,Brentwood Ave. and Chase St.,1103 Brentwood Ave.,,Side of building,Images of Frederick Douglas and his struggle for knowledge and an education,Limited visibility,,,"1103 Brentwood Ave.
21202
(39.302920292792294, -76.60957191114807)"
unknown,,,Serviceman's Memorial,1945,,21211,Wyman Park Dr. and San Martin Dr.,Wyman Park and San Martin Dr.,,,,,,Y,"Wyman Park and San Martin Dr.
21211
(39.33100999999999, -76.63518999999991)"
Kramer,Reuben,,Unknown,1940,concrete,21231,Frederick Douglas Homes,1500 E. Fayette St.,,Entrance,,,,,"1500 E. Fayette St.
21231
(39.293265059648235, -76.59727141683094)"
Zopf,Fernanda,,Unknown,1976,granite,21230,Charles Carroll Barrister ES,1327 Washington Blvd.,PS  34,Entrance plaza,,,,,"1327 Washington Blvd.
21230
(39.28032465761226, -76.63572931347767)"
Miller,Tom,,,1991,mural,21213,1339 E. North Ave.,1339 E. North Ave.,,Two murals on west and east side of Harford Rd. at North Ave.,Two murals; man reading and boy playing,Very Visible (on Harford Rd.),,,"1339 E. North Ave.
21213
(39.31189552664472, -76.59960742306345)"
Coletti,Joseph,,Unknown - Reliefs Cathedral of Mary our Queen,1955-59,limestone,21210,Cathedral of Mary our Queen,5300 N. Charles St.,,Facades and doors,,,,,"5300 N. Charles St.
21210
(39.359982275551374, -76.62468951446061)"
Stevenson,D.W.,,Wallace Monument,1890,bronze,21217,Druid Hill Park,Druid Hill Park,,Lake drive,,,,Y,"Druid Hill Park
21217
(39.316007473609055, -76.64384898808959)"
