ticket_id,ticket_created,date_of_issue,time_of_issue,form,method,issue,caller_id_number,type_of_call_or_messge,advertiser_business_number,state,zip,location_center_point_of_the_zip_code
1106391,07/27/2016 06:22:28 PM +0000,7/27/16,12:08 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),727-919-2344,Prerecorded Voice,,TX,77833,"TX 77833
(30.197991, -96.408398)"
1106414,07/27/2016 06:30:31 PM +0000,7/27/16,11:20 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),900-999-9999,Prerecorded Voice,425-312-7268,NM,87110,"NM 87110
(35.107972, -106.577935)"
1106421,07/27/2016 06:32:45 PM +0000,7/27/16,10:00 AM,Phone,Wired,Robocalls,206-483-0010,Prerecorded Voice,206-483-0010,FL,34482,"FL 34482
(29.234069, -82.258119)"
1106424,07/27/2016 06:34:14 PM +0000,7/27/16,12:15 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),900-999-9999,Prerecorded Voice,425-312-7268,TN,38138,"TN 38138
(35.086746, -89.800481)"
1106430,07/27/2016 06:36:04 PM +0000,7/27/16,12:41 PM,Phone,Wired,Telemarketing (including do not call and spoofing),519-315-8813,Live Voice,,FL,34232,"FL 34232
(27.322815, -82.473545)"
1106431,07/27/2016 06:37:03 PM +0000,7/25/16,1:30 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,206-701-7426,Prerecorded Voice,206-701-7426,VA,23502,"VA 23502
(36.85514, -76.211282)"
1106433,07/27/2016 06:37:43 PM +0000,7/27/16,1:00 PM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),215-867-6970,Live Voice,,PA,19145,"PA 19145
(39.920491, -75.18429)"
1106464,07/27/2016 06:49:09 PM +0000,7/27/16,12:57 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),386-871-8369,Prerecorded Voice,,FL,32137,"FL 32137
(29.582056, -81.249008)"
1106465,07/27/2016 06:49:26 PM +0000,7/27/16,1:40 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,641-751-1633,Prerecorded Voice,,MD,21136,"MD 21136
(39.474057, -76.809743)"
1106466,07/27/2016 06:49:36 PM +0000,7/26/16,11:56 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,,Prerecorded Voice,202-754-6598,NH,3045,"NH 03045
(43.016934, -71.562731)"
1106467,07/27/2016 06:49:49 PM +0000,7/27/16,1:15 PM,Phone,Wired,Telemarketing (including do not call and spoofing),802-864-6101,Live Voice,800-804-4983,VT,5404,"VT 05404
(44.495364, -73.184339)"
1106496,07/27/2016 06:59:27 PM +0000,7/27/16,11:48 AM,Phone,Wired,Telemarketing (including do not call and spoofing),512-212-1289,Live Voice,,TX,75028,"TX 75028
(33.03515, -97.060243)"
1106501,07/27/2016 07:00:46 PM +0000,7/27/16,1:51 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,704-997-4048,Prerecorded Voice,,NJ,7928,"NJ 07928
(40.728964, -74.402959)"
1106502,07/27/2016 07:00:53 PM +0000,7/27/16,10:50 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),618-377-5063,Live Voice,,CA,95134,"CA 95134
(37.410635, -121.940949)"
1106505,07/27/2016 07:01:55 PM +0000,7/25/16,3:00 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),321-508-8441,Prerecorded Voice,,NM,88201,"NM 88201
(33.539509, -104.430851)"
1106508,07/27/2016 07:02:57 PM +0000,7/27/16,12:51 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),303-558-1485,Prerecorded Voice,303-558-1485,TX,76022,"TX 76022
(32.83006, -97.144993)"
1106518,07/27/2016 07:05:19 PM +0000,7/27/16,9:11 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),815-381-0841,Live Voice,909-233-4684,CA,93424,"CA 93424
(35.180256, -120.733154)"
1106522,07/27/2016 07:05:58 PM +0000,7/25/16,11:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,,MD,20830,"MD 20830
(39.156297, -77.06613)"
1106551,07/27/2016 07:13:50 PM +0000,7/27/16,2:10 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),352-516-2512,Live Voice,,NY,10994,"NY 10994
(41.09763, -73.974307)"
1106557,07/27/2016 07:16:52 PM +0000,7/27/16,11:05 AM,Phone,Wired,Telemarketing (including do not call and spoofing),619-658-0697,Live Voice,,CA,92198,"CA 92198
(32.71576, -117.163817)"
1106558,07/27/2016 07:17:13 PM +0000,7/27/16,10:56 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,636-224-3292,Prerecorded Voice,,CA,95110,"CA 95110
(37.34081, -121.903019)"
1106559,07/27/2016 07:17:56 PM +0000,7/27/16,1:54 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),727-919-2344,Live Voice,,VA,20175,"VA 20175
(39.073822, -77.586445)"
1106562,07/27/2016 07:18:06 PM +0000,7/27/16,11:55 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,,ID,83616,"ID 83616
(43.719807, -116.379733)"
1106579,07/27/2016 07:24:03 PM +0000,7/27/16,12:00 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,,AL,36420,"AL 36420
(31.23265, -86.540335)"
1106582,07/27/2016 07:25:23 PM +0000,7/27/16,1:43 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,,KY,42701,"KY 42701
(37.706889, -85.852319)"
1106587,07/27/2016 07:27:09 PM +0000,7/27/16,11:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),510-507-5593,Prerecorded Voice,,CA,94706,"CA 94706-2331
(37.886075, -122.29388)"
1106595,07/27/2016 07:30:00 PM +0000,7/27/16,11:20 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,520-463-4133,AZ,85301,"AZ 85301
(33.533071, -112.178819)"
1106598,07/27/2016 07:30:23 PM +0000,7/27/16,2:20 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,347-594-5558,Prerecorded Voice,347-594-5558,OH,43212,"OH 43212
(39.986959, -83.04267)"
1106599,07/27/2016 07:30:33 PM +0000,7/27/16,2:03 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),,Live Voice,,MA,2360,"MA 02360
(41.886602, -70.62855)"
1106606,07/27/2016 07:33:59 PM +0000,7/27/16,,Phone,Wired,Robocalls,305-396-8514,Prerecorded Voice,305-396-2514,MN,55008,"MN 55008
(45.569114, -93.254684)"
1106622,07/27/2016 07:39:37 PM +0000,7/27/16,2:30 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),651-404-7454,Live Voice,,GA,30339,"GA 30339
(33.879512, -84.464196)"
1106623,07/27/2016 07:39:39 PM +0000,7/27/16,10:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,305-508-4609,WA,98116,"WA 98116
(47.574001, -122.394511)"
1106625,07/27/2016 07:40:14 PM +0000,7/27/16,1:31 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,714-936-5785,Prerecorded Voice,,AL,35207,"AL 35207
(33.562307, -86.819628)"
1106628,07/27/2016 07:42:38 PM +0000,7/23/16,12:32 PM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),714-215-9017,Abandoned Calls,,CA,92705,"CA 92705
(33.758621, -117.81292)"
1106631,07/27/2016 07:44:50 PM +0000,7/27/16,11:12 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,619-330-1897,Abandoned Calls,,TX,77868,"TX 77868
(30.372826, -96.050177)"
1106643,07/27/2016 07:47:58 PM +0000,7/27/16,11:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,,CA,92646,"CA 92646
(33.667231, -117.968323)"
1106647,07/27/2016 07:49:36 PM +0000,6/28/16,11:49 AM,Phone,Wired,Telemarketing (including do not call and spoofing),603-683-2000,Live Voice,800-800-0014,OR,97223,"OR 97223
(45.44045, -122.780269)"
1106648,07/27/2016 07:49:43 PM +0000,7/27/16,2:40 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,,NJ,8618,"NJ 08618
(40.242743, -74.785349)"
1106655,07/27/2016 07:50:13 PM +0000,7/27/16,2:41 PM,Phone,Wired,Telemarketing (including do not call and spoofing),414-623-7525,Prerecorded Voice,,CT,6259,"CT 06259
(41.871093, -71.986665)"
1106656,07/27/2016 07:50:19 PM +0000,7/27/16,11:48 AM,Phone,Wired,Robocalls,213-266-7280,Abandoned Calls,,CA,91730,"CA 91730
(34.102953, -117.583505)"
1106672,07/27/2016 07:54:44 PM +0000,7/27/16,3:00 PM,Phone,Wired,Robocalls,,Prerecorded Voice,206-565-9503,DC,20007,"DC 20007
(38.913807, -77.076816)"
1106682,07/27/2016 07:58:51 PM +0000,7/27/16,2:50 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),205-900-3650,Abandoned Calls,205-900-3650,VA,22151,"VA 22151
(38.803986, -77.210052)"
1106689,07/27/2016 08:02:27 PM +0000,7/27/16,1:38 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,206-769-8487,Prerecorded Voice,,IN,46324,"IN 46324
(41.583065, -87.502786)"
1106725,07/27/2016 08:14:37 PM +0000,7/27/16,12:00 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,501-283-9985,CA,95123,"CA 95123-4006
(37.242393, -121.841763)"
1106728,07/27/2016 08:16:53 PM +0000,7/27/16,1:02 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,,TX,79912,"TX 79912
(31.849957, -106.542256)"
1106729,07/27/2016 08:17:03 PM +0000,7/27/16,1:30 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),202-698-9094,Live Voice,,IL,60123,"IL 60123
(42.038949, -88.311388)"
1106730,07/27/2016 08:17:18 PM +0000,7/27/16,3:11 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,,Prerecorded Voice,,OH,45039,"OH 45039
(39.326764, -84.239792)"
1182148,09/08/2016 02:39:24 PM +0000,9/8/16,8:44 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),866-380-9730,Abandoned Calls,866-380-9730,MD,21784,"MD 21784-5826
(39.400551, -76.968734)"
1106731,07/27/2016 08:17:24 PM +0000,7/27/16,2:52 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),201-492-9137,Prerecorded Voice,201-492-9137,FL,32832,"FL 32832
(28.41022, -81.204336)"
1106733,07/27/2016 08:18:05 PM +0000,7/27/16,3:15 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),701-369-9109,Text Message,855-500-9005,GA,30030,"GA 30030
(33.771369, -84.292901)"
1106736,07/27/2016 08:19:20 PM +0000,7/27/16,2:10 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),402-382-7107,Live Voice,,NE,68123,"NE 68123
(41.116249, -95.950704)"
1106738,07/27/2016 08:20:16 PM +0000,7/27/16,1:00 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),949-009-0302,Prerecorded Voice,949-009-0302,KS,67601,"KS 67601
(38.85847, -99.333908)"
1182151,09/08/2016 02:40:22 PM +0000,9/8/16,9:32 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,,Autodialed Live Voice Call,,SC,29405,"SC 29405
(32.8578, -79.982062)"
1145348,08/18/2016 12:38:31 PM +0000,8/16/16,4:32 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),256-510-2225,Live Voice,,DC,20005,"DC 20005
(38.904625, -77.031531)"
1106761,07/27/2016 08:26:40 PM +0000,7/27/16,2:29 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,813-758-5175,FL,33544,"FL 33544
(28.234067, -82.36526)"
1106762,07/27/2016 08:26:43 PM +0000,7/27/16,2:10 PM,Phone,Wired,Telemarketing (including do not call and spoofing),316-530-8028,Live Voice,316-530-8028,TX,76182,"TX 76182
(32.882315, -97.210915)"
1106765,07/27/2016 08:27:33 PM +0000,7/27/16,2:00 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),330-708-1480,Live Voice,,MD,21784,"MD 21784
(39.400551, -76.968734)"
1106782,07/27/2016 08:31:55 PM +0000,7/25/16,3:30 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),402-295-1165,Prerecorded Voice,,LA,70546,"LA 70546
(30.255448, -92.666868)"
1182153,09/08/2016 02:41:09 PM +0000,9/8/16,9:19 a.m.,Phone,Wired,Robocalls,424-343-4669,Prerecorded Voice,424-343-4669,FL,33449,"FL 33449-8004
(26.603832, -80.225562)"
1182164,09/08/2016 02:46:32 PM +0000,9/8/16,9:3 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),225-289-7540,Prerecorded Voice,225-289-7540,PA,15068,"PA 15068
(40.566993, -79.724247)"
1182165,09/08/2016 02:46:44 PM +0000,9/8/16,9:40 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,202-864-0121,Prerecorded Voice,,MA,1440,"MA 01440
(42.577084, -71.989255)"
1106787,07/27/2016 08:32:58 PM +0000,7/27/16,2:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),479-439-6682,Abandoned Calls,479-439-6682,AR,71635,"AR 71635
(33.134922, -91.972772)"
1106789,07/27/2016 08:33:14 PM +0000,7/27/16,9:50 AM,Phone,Wired,Telemarketing (including do not call and spoofing),480-568-5335,Abandoned Calls,,AZ,85082,"AZ 85082-0202
(33.448204, -112.072585)"
1106795,07/27/2016 08:34:41 PM +0000,7/27/16,12:15 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,800-212-4955,Prerecorded Voice,800-212-4955,CA,93704,"CA 93704
(36.797684, -119.801681)"
1106809,07/27/2016 08:40:22 PM +0000,7/27/16,9:59 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,618-314-8084,Prerecorded Voice,,WA,98407,"WA 98407
(47.285977, -122.506857)"
1106815,07/27/2016 08:42:05 PM +0000,7/27/16,3:20 PM,Phone,Wired,Telemarketing (including do not call and spoofing),614-885-6818,Prerecorded Voice,562-716-4056,OH,43085,"OH 43085-3793
(40.081741, -83.004734)"
1106816,07/27/2016 08:42:20 PM +0000,7/27/16,2:22 PM,Phone,Wired,Telemarketing (including do not call and spoofing),214-734-3333,Live Voice,,TX,75001,"TX 75001
(32.959456, -96.837813)"
1106818,07/27/2016 08:43:45 PM +0000,7/27/16,2:34 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),719-368-4594,Abandoned Calls,,AL,35040,"AL 35040
(33.112993, -86.741563)"
1106821,07/27/2016 08:45:50 PM +0000,7/27/16,,Phone,Wired,Telemarketing (including do not call and spoofing),609-270-0110,Abandoned Calls,,FL,33704,"FL 33704
(27.79643, -82.636776)"
1106831,07/27/2016 08:48:28 PM +0000,7/27/16,3:33 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),216-242-4110,Text Message,,NY,14221,"NY 14221
(42.980424, -78.728009)"
1182173,09/08/2016 02:52:12 PM +0000,9/8/16,9:37 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,,Prerecorded Voice,,SC,29679,"SC 29679
(34.69, -82.95)"
1145377,08/18/2016 01:29:18 PM +0000,8/17/16,11:43 PM,Phone,Internet (VOIP),Robocalls,800-255-1422,Abandoned Calls,,FL,32081,"FL 32081
(30.101104, -81.428143)"
1182174,09/08/2016 02:52:33 PM +0000,5/1/16,8:00 AM,Phone,Wired,Telemarketing (including do not call and spoofing),940-427-1017,Abandoned Calls,,TX,76367,"TX 76367
(33.958757, -98.688423)"
1106832,07/27/2016 08:48:34 PM +0000,7/27/16,3:15 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),443-218-2062,Prerecorded Voice,,MD,21044,"MD 21044
(39.210791, -76.881075)"
1106837,07/27/2016 08:50:17 PM +0000,7/27/16,12:53 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,,CA,90620,"CA 90620
(33.843645, -118.011847)"
1106841,07/27/2016 08:50:59 PM +0000,7/27/16,3:55 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),202-768-7233,Prerecorded Voice,424-302-5128,MI,48732,"MI 48732
(43.604252, -83.796631)"
1106861,07/27/2016 08:57:41 PM +0000,7/27/16,3:00 PM,Phone,Wired,Robocalls,800-599-2335,Autodialed Live Voice Call,800-599-2335,OH,43017,"OH 43017
(40.115553, -83.130878)"
1106862,07/27/2016 08:57:49 PM +0000,7/27/16,3:45 PM,Phone,Wired,Robocalls,844-892-4679,Prerecorded Voice,844-892-4679,OH,44149,"OH 44149
(41.317572, -81.854251)"
1106877,07/27/2016 09:00:48 PM +0000,7/27/16,3:27 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),352-516-2512,Live Voice,,OH,44107,"OH 44107
(41.48209, -81.800673)"
1106879,07/27/2016 09:01:16 PM +0000,7/27/16,2:50 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),217-481-0832,Prerecorded Voice,,IL,61821,"IL 61821
(40.109288, -88.274207)"
1106882,07/27/2016 09:02:45 PM +0000,7/27/16,12:54 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,424-217-7795,Prerecorded Voice,,NV,89048,"NV 89048
(36.176861, -116.005739)"
1106883,07/27/2016 09:02:50 PM +0000,7/27/16,3:30 PM,Phone,Wired,Telemarketing (including do not call and spoofing),803-500-1681,Abandoned Calls,,SC,29802,"SC 29802
(33.566074, -81.721042)"
1106886,07/27/2016 09:03:30 PM +0000,7/27/16,3:44 P.M.,Phone,Wired,Telemarketing (including do not call and spoofing),508-283-0281,Abandoned Calls,,MA,2540,"MA 02540
(41.569616, -70.625543)"
1106887,07/27/2016 09:03:36 PM +0000,7/27/16,3:30 PM,Phone,Internet (VOIP),Robocalls,,Prerecorded Voice,,NY,10019,"NY 10019
(40.765455, -73.988867)"
1106891,07/27/2016 09:06:01 PM +0000,7/27/16,11:37 AM,Phone,Wired,Telemarketing (including do not call and spoofing),206-565-9507,Prerecorded Voice,206-565-9501,TX,75078,"TX 75078
(33.245276, -96.796127)"
1106893,07/27/2016 09:06:08 PM +0000,7/27/16,8:54 AM,Phone,Wired,Robocalls,206-565-9501,Prerecorded Voice,206-565-9501,CO,80528,"CO 80528
(40.497222, -105.003012)"
1106925,07/27/2016 09:16:06 PM +0000,7/27/16,4:08 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,,NC,27519,"NC 27519
(35.808014, -78.882244)"
1106926,07/27/2016 09:16:11 PM +0000,7/27/16,,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),814-444-8815,Abandoned Calls,,PA,16635,"PA 16635
(40.4157, -78.45712)"
1106927,07/27/2016 09:16:11 PM +0000,7/27/16,3:54 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,352-516-2512,Prerecorded Voice,,NY,11501,"NY 11501
(40.747079, -73.639378)"
1106929,07/27/2016 09:16:39 PM +0000,7/27/16,1:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),800-592-1160,Live Voice,,CA,94127,"CA 94127
(37.735395, -122.460584)"
1106933,07/27/2016 09:17:05 PM +0000,7/27/16,3:47 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),985-317-5614,Abandoned Calls,,GA,30240,"GA 30240
(33.036021, -85.095673)"
1106938,07/27/2016 09:17:46 PM +0000,7/27/16,2:47 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,206-391-7046,Prerecorded Voice,,KY,42419,"KY 42419-0392
(37.84, -87.59)"
1106944,07/27/2016 09:19:10 PM +0000,7/27/16,9:46 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,,TX,78736,"TX 78736
(30.241891, -97.930895)"
1106949,07/27/2016 09:20:14 PM +0000,7/27/16,9:03 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,,,AZ,85331,"AZ 85331
(33.800559, -111.9586)"
1106950,07/27/2016 09:20:17 PM +0000,7/27/16,2:00 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),302-231-1560,Abandoned Calls,,DE,19805,"DE 19805
(39.744809, -75.588638)"
1106951,07/27/2016 09:20:31 PM +0000,7/23/16,8:30 a.m.,Phone,Wired,Robocalls,,Prerecorded Voice,800-848-1949,NY,14150,"NY 14150
(42.999597, -78.867291)"
1182179,09/08/2016 02:53:14 PM +0000,9/8/16,9:33 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Live Voice,631-353-4488,MI,48047,"MI 48047
(42.675261, -82.77923)"
1182185,09/08/2016 02:54:56 PM +0000,9/8/16,9:51 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),315-355-0209,Prerecorded Voice,,NY,10022,"NY 10022
(40.758794, -73.967213)"
395044,07/10/2015 05:06:41 PM +0000,7/10/15,11:01 AM,Phone,Wired,Telemarketing (including do not call and spoofing),814-347-6628,Live Voice,,PA,16601,"PA 16601
(40.533435, -78.39462)"
1058838,06/28/2016 04:39:08 PM +0000,6/28/16,10:25 a.m.,Phone,Wired,Robocalls,423-223-1667,Prerecorded Voice,,MD,20711,"MD 20711
(38.804081, -76.656076)"
1106952,07/27/2016 09:20:31 PM +0000,7/27/16,,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Abandoned Calls,,PA,16635,"PA 16635
(40.4157, -78.45712)"
1106961,07/27/2016 09:24:30 PM +0000,7/27/16,3:55 PM,Phone,Wired,Robocalls,562-716-4056,Prerecorded Voice,,NY,10605,"NY 10605
(41.008997, -73.747232)"
1106969,07/27/2016 09:26:11 PM +0000,7/27/16,1:30 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),240-681-9137,Prerecorded Voice,,CA,92660,"CA 92660
(33.632533, -117.874353)"
1106980,07/27/2016 09:27:47 PM +0000,7/27/16,11:30 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),310-929-1009,Live Voice,,CA,95688,"CA 95688
(38.396893, -121.990331)"
1182186,09/08/2016 02:55:06 PM +0000,9/8/16,9:30 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,607-794-1016,Prerecorded Voice,607-794-1016,VA,23226,"VA 23226
(37.582264, -77.517645)"
1182189,09/08/2016 02:56:25 PM +0000,9/8/16,7:30 AM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),114-287-5579,Abandoned Calls,,CO,80816,"CO 80816
(38.836644, -105.245303)"
1145420,08/18/2016 02:16:30 PM +0000,8/17/16,5:25 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),717-229-4252,Text Message,727-229-4252,MO,64746,"MO 64746
(38.614375, -94.49528)"
1145421,08/18/2016 02:17:23 PM +0000,8/18/16,9:15 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),972-861-0398,Live Voice,,OH,44708,"OH 44708
(40.814127, -81.428126)"
1077590,07/10/2016 07:28:19 PM +0000,7/8/16,11:21 AM,Phone,Wired,Robocalls,646-369-1369,Prerecorded Voice,646-369-1369,OH,45040,"OH 45040
(39.346713, -84.312577)"
1077653,07/10/2016 09:16:09 PM +0000,7/10/16,4:09 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),208-926-1032,Text Message,208-926-1032,FL,33418,"FL 33418
(26.851443, -80.144846)"
1077662,07/10/2016 09:28:41 PM +0000,7/6/16,10:32 AM,Phone,Wired,Telemarketing (including do not call and spoofing),567-443-3847,Prerecorded Voice,,MI,49424,"MI 49424
(42.831004, -86.128575)"
1077805,07/11/2016 02:36:02 AM +0000,6/19/16,4:59 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),858-225-7702,Prerecorded Voice,,GA,30141,"GA 30141-2423
(33.866271, -84.770776)"
1106984,07/27/2016 09:28:12 PM +0000,7/27/16,4:20 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,502-414-0448,Autodialed Live Voice Call,,KY,40359,"KY 40359
(38.489798, -84.827875)"
1107004,07/27/2016 09:32:40 PM +0000,7/27/16,4:18 PM,Phone,Wired,Robocalls,,Prerecorded Voice,202-683-4121,PA,18036,"PA 18036
(40.508696, -75.401512)"
1107008,07/27/2016 09:33:22 PM +0000,7/27/16,1:59 PM,Phone,Wired,Telemarketing (including do not call and spoofing),559-237-6991,Prerecorded Voice,,CT,6880,"CT 06880
(41.143865, -73.348008)"
1107012,07/27/2016 09:34:58 PM +0000,7/27/16,4:28 PM,Phone,Wired,Robocalls,973-221-1123,Prerecorded Voice,,MI,48357,"MI 48357
(42.654141, -83.638962)"
1107013,07/27/2016 09:35:06 PM +0000,7/26/16,7:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),,Prerecorded Voice,,CA,92821,"CA 92821
(33.924795, -117.890559)"
1107014,07/27/2016 09:35:09 PM +0000,7/27/16,10:51 AM,Phone,Wired,Telemarketing (including do not call and spoofing),970-422-5049,Prerecorded Voice,,CT,6880,"CT 06880
(41.143865, -73.348008)"
1107017,07/27/2016 09:36:03 PM +0000,7/27/16,11:49 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),,Prerecorded Voice,305-515-2739,NJ,7728,"NJ 07728
(40.23905, -74.274542)"
1107051,07/27/2016 09:45:27 PM +0000,7/27/16,3:51 PM,Phone,Wired,Robocalls,202-873-7086,Prerecorded Voice,202-873-7086,FL,33569,"FL 33569
(27.848422, -82.299323)"
1107053,07/27/2016 09:45:48 PM +0000,7/27/16,12:50 PM,Phone,Internet (VOIP),Robocalls,,,,MD,21401,"MD 21401
(38.986089, -76.541982)"
1107058,07/27/2016 09:47:41 PM +0000,7/27/16,9:00 AM,Phone,Internet (VOIP),Robocalls,508-599-3648,Text Message,,FL,34442,"FL 34442
(28.920494, -82.399485)"
1107064,07/27/2016 09:49:01 PM +0000,7/27/16,9:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),866-937-3225,Prerecorded Voice,,WA,98031,"WA 98031
(47.40561, -122.196448)"
1107069,07/27/2016 09:51:25 PM +0000,7/27/16,3:43 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),404-210-6845,Prerecorded Voice,,GA,30032,"GA 30032
(33.739729, -84.264502)"
1107075,07/27/2016 09:53:21 PM +0000,7/27/16,1:37 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),213-785-7683,Abandoned Calls,,CA,95503,"CA 95503
(40.757005, -124.147251)"
1107081,07/27/2016 09:54:14 PM +0000,7/27/16,3:30 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),855-208-2488,Prerecorded Voice,855-208-2488,OK,73071,"OK 73071
(35.228574, -97.417519)"
