Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1917,His Wedding Night,American,Roscoe Arbuckle,"'Fatty' Arbuckle, Buster Keaton",comedy,https://en.wikipedia.org/wiki/His_Wedding_Night,"Arbuckle plays a drug store clerk, soda jerk, and gas station attendant, who can be both lazy and dishonest. After he mixes a soda for one customer with elaborate gestures and juggling of utensils, he attends the perfume counter, where another customer has been indulging herself with a free sample. After he confronts her, he is distracted while an African American customer steps up to the counter. When the clerk hugs her and then realizes it is a different customer, he almost faints. Later on, while still on the job, he proposes to his boss's daughter Alice (Alice Mann), and she gleefully accepts. The scene then switches to the gas pump, where Arbuckle's character switches the sign to a higher price when a person with an expensive car drives up. After the car drives away, he drinks from the pump. Meanwhile inside, Al (Al St. John), another admirer of Alice, also proposes to her while they are eating watermelon. When she is tells him she is already engaged to the soda clerk, Al becomes outraged and begins causing a commotion in the store. After a food fight that involves several customers, the owner of the store throws Al out. Later in the day a delivery boy (Buster Keaton), after a prat fall over a bicycle rack, delivers Alice's wedding dress to her room above the store. He agrees to model it for her when she expresses worry that it will not fit her. When a male customer enters and annoys the clerk, he puts chloroform in the sample bottle to knock him out if he comes in again. The male customer never returns, but several female customers end up knocking themselves out. When a pretty woman arrives, Fatty deliberately knocks her unconscious so he can kiss her. He knocks out his boss, who could be a witness, as well. After he sees another customer sampling the perfume, he is shocked when it has no effect on her, even when she drinks it. He investigates by spraying himself with the ""perfume"" but is himself knocked out. With Arbuckle's character unconscious, Al, the rejected lover, sneaks into the store with his gang and kidnaps the delivery boy, thinking it is Alice, since his face was covered by a wedding veil. They tie him up and put a sack over his head and, escaping out of the second story window, take the delivery boy by to the justice of the peace's office. There they attempt to force the justice of peace to marry them at gunpoint. However, the soda clerk regains consciousness and, thinking the group has actually kidnapped Alice, pursues the group, but only after he comically struggles with a mule that he wants to hook to a wagon. He thwarts the gang just in time. He then convinces the justice of the peace to marry him to the delivery boy, whom, since his head is still covered in the sack, he thinks is Alice. Alice, discovering what has happened, gets on a bicycle and heads to the justice of the peace's office as well. She arrives in time to stop the clerk from marrying the delivery boy. Arbuckle's character then throws Keaton's character into the room with Al and his henchmen. While that scene of slapstick fighting goes on in that room, the soda clerk and Alice must have been married, for in the final scene the clerk pays the justice of the peace but then sprays him with the chloroform in the perfume bottle and takes his money back. The film ends long before the newly wed couple reach their wedding night, as the title might have suggested would be forthcoming."
1917,The Immigrant,American,Charles Chaplin,"Charlie Chaplin, Edna Purviance",comedy,https://en.wikipedia.org/wiki/The_Immigrant_(1917_film),"The film begins aboard a steamer crossing the Atlantic Ocean, and initially showcases the misadventures of an unnamed immigrant, the Tramp (Chaplin) who finds himself in assorted mischief while, among other things, playing cards, eating in a mess hall, and avoiding seasick passengers. Along the way, he befriends another unnamed immigrant (Purviance) who is traveling to America with her ailing mother. The two are robbed by a pickpocket who is losing in gambling. The Tramp, feeling sorry for the two penniless women, attempts to secretly place his winnings from his card game in the woman's pocket, but ends up being mistakenly accused of being a pickpocket. The woman manages to clear the Tramp's name. Upon arrival in America, the Tramp and the woman part company.
Later, hungry and broke, the tramp finds a coin on the street outside a restaurant and pockets it. He doesn't realize there is a hole in his pocket and the coin has fallen straight through and is back on the ground. He enters the restaurant, where he orders a plate of beans. There, he is reunited with the woman and discovers her mother is dead. The Tramp orders a meal for her.
As they eat, they watch the restaurant's burly head waiter (Campbell) and other waiters attack and forcibly eject a patron who is short 10 cents in paying his bill. The Tramp, intimidated by the waiter, checks and now realizes he has lost his coin. Terrified of facing the same treatment as the man he saw thrown out, the Tramp begins planning how he will fight the huge man. Soon, however, he finds the same coin fallen from the head waiter's pocket onto the floor and makes many failed attempts to retrieve it without notice. He finally retrieves the coin and nonchalantly pays the waiter only to be thunderstruck when the waiter reveals the coin to be fake. Once again, the Tramp prepares for the fight of his life. Just then, a visiting artist spots the Tramp and the woman and offers them a job to pose for a painting. The two agree. The artist offers to pay for the Tramp and the woman's meal, but the Tramp declines the offer several times for reasons of etiquette, intending to eventually accept the artist's offer; however, he's dismayed when the artist does not renew his offer to pay at the last moment. The artist pays for his own meal and leaves a tip for the waiter. The Tramp notices that the tip is enough to cover the couple's meal and, without the artist noticing, palms the tip and presents it to the waiter as his own payment for his and the woman's meal. As a final riposte, he lets the waiter keep the remaining change - one small coin - after paying his bill. The waiter thinks the artist himself has given no tip whatsoever, and is clearly upset at this supposed action.
Afterwards, outside a marriage license office in the rain, the Tramp proposes marriage to the woman, who is coy and reluctant until the Tramp physically carries her into the office while she waves her arms and kicks her feet in protest."
1917,"In Again, Out Again",American,John Emerson,Douglas Fairbanks,comedy,"https://en.wikipedia.org/wiki/In_Again,_Out_Again","A young man drowns his sorrows in strong drink when jilted by his girl. His drunkenness gets him thrown in jail, where he falls in love with the jailer's daughter. When released, the young man tries everything to get back into the jail - though when he is mistaken for an anarchist bomber, he finds himself facing not just jail, but execution."
1917,The Jury of Fate,American,Tod Browning,Mabel Taliaferro,drama,https://en.wikipedia.org/wiki/The_Jury_of_Fate,"As described in a film magazine,[4] Henri Labordie (Tavernier) is the father of twins. Jeanne (Taliaferro) is sweet and winsome while her brother Jaques (Taliaferro), pampered by her father, is ill-tempered. When Jaques dies through his own caddishness, Jeanne, to spare her father from the shock, clips off her hair and dons boys clothing so that her father will think that it was her and not Jaques who drowned in a stream. When Labordie dies, Jeanne's deception ends when she goes to Montreal to fulfill an ancient pact, and there she finds happiness."
1917,The Little American,American,Cecil B. DeMille,Mary Pickford,war drama,https://en.wikipedia.org/wiki/The_Little_American,"Karl Von Austreim (Jack Holt) lives in America with his German father and American mother. He notices a young lady, Angela More (Mary Pickford). As she is celebrating her birthday on the Fourth of July of 1914, she receives flowers from the French Count Jules De Destin (Raymond Hatton). They are interrupted by Karl, who also gives her a present. They soon battle for Angela's attention. To lose his competition, Count Jules arranges for Karl to be sent to Hamburg, where he will have to join his regiment. Angela is crushed when he announces he has to leave. The next day, Angela reads in the paper the Germans and French are at war and 10,000 Germans have been killed already.
Three months pass by without a word from Karl. Karl is wounded in the fighting. Word spreads that Germany will sink any ship which is thought to be carrying munitions to the Allies. Angela is aboard one of those ships when it is hit. Angela saves herself by climbing on a floating table and begging the attackers not to fire on the passengers. Angela is eventually rescued.
After weeks of ceaseless hammering from the German guns, the French fall back on Vangy. Angela arrives in Vangy as well to visit her aunt, only to discover she has died. The Old Prussians are bombing the city and Angela is requested to flee. However, she is determined to stay to nurse the wounded soldiers. Meanwhile, the Germans enter the chateau with the intention of getting drunk and enjoying themselves with the young women. A French soldier tries to help Angela escape, but she is unwilling to. He next asks her to let a French soldier spy on the Germans and inform the French via a secret hidden telephone. Angela is afraid, but gives them permission.
The Germans are intent on raping Angela, who is the only person in the mansion not to be hidden. She reveals herself to be an American to save herself, but they do not believe her. Angela attempts to run away and hide, but is discovered by a German soldier who turns out to be Karl. Angela orders him to save the other women in the house, but Karl responds he cannot give orders to his fellow Germans. She realizes there is nothing she can do. With permission to leave the mansion, she witnesses the execution of the French soldiers. She is heartbroken and decides to go back in for revenge.
Angela secretly calls the French with the hidden telephone and informs them that there are three gun holders near the chateau. The French prepare themselves and attack the Germans. The Germans realize someone is giving the French information and Karl catches Angela. He tries to help her escape, but they are caught. The commander orders that Angela be shot. When Karl tries to save her, he is to sentenced to be executed as well for treason. As the couple face death, the French bomb the mansion, enabling Angela and Karl to escape. They are too weak to run and collapse near a statue of Jesus. The next day, they are found by French soldiers. They initially want to shoot Karl, but Angela begs them to set him free. They eventually allow her to fly back to America with Karl by her side as a German prisoner."
1917,The Little Princess,American,Marshall Neilan,"Mary Pickford, Norman Kerry and ZaSu Pitts",drama,https://en.wikipedia.org/wiki/The_Little_Princess_(1917_film),"As described in a film magazine,[2] Sara Crewe (Pickford) is treated as a little princess at the Minchin boarding school for children until it is learned that her father has lost his entire fortune, and she is made a slavey (a household servant). She and Becky (Pitts), another slavey, become close friends who share their joys and sorrows. Christmastime draws near and the girls watch the preparations wistfully. Their loneliness arouses the sympathy of a servant of the rich Mr. Carrisford. On the night before Christmas he prepares a spread for the slaveys in their attic. He calls his master Mr. Carrisford (von Seyffertitz) to watch their joy, but both are witness to the slaveys being abused and whipped by Miss Minchin (Griffith). Carrisford interferes and learns that Sara is the daughter of his best friend. He adopts Sara and Becky and in their new home they have a real Christmas.
The film opens with Sarah's father moving back to London after serving in the British Army in India. She is opposed to leaving the luxurious life of an officer's child with a large house and many servants, and is initially shy when enrolled in Miss Minchin's School. Her reputation as ""the little princess"" precedes her and the other girls are fascinated with her tales of life in India. The girls sneak into Sarah's room at night to listen to her stories. One night, she tells ""Ali Baba and the Forty Thieves"" which becomes a story within a story with elaborate exotic sets and costumes."
1917,The Man Without a Country,American,Ernest C. Warde,"Florence La Badie, Holmes Herbert",drama,https://en.wikipedia.org/wiki/The_Man_Without_a_Country_(1917_film),"As described in a film magazine,[5] Barbara Norton (La Badie) and her brother Tom (Marlo), orphaned children of a veteran who gave his life for his country, go to live with their uncle Phineas (Howard) and aunt (Hastings) in the city. It is just before the entrance of the United States into the European war and the uncle is a pacifist. He holds meetings at home where Barbara assists him. Barbara's brother is a loyal American and is greatly troubled by the uncle's expectations to count on him. Barbara meets John Alton (Herbert), who wins her promise to be his wife. They are very happy until war is declared and Barbara cannot bear the thought of her future husband not doing service for his country. His ""Peace at Any Price"" button is the last straw and she gives him a choice of either joining the ""colors"" or breaking the engagement. John declares that he is a true pacifist and Barbara, believing that a man who cannot support his country is that country's enemy, breaks the engagement publicly. Her fiance becomes very unpopular at his club because of his views and is taken to task by one of his father's friends. Having lost Barbara and his popularity makes him resent the constant references to the United States and his debt to his country, and he curses his native land. Barbara enlists as a Red Cross nurse and her brother as a soldier. Later, an old friend of John's family, Pop Milton (Dundan), gives him a copy of The Man Without a Country and asks him to read it and rise above his treasonous views. He does so, and as he reads the immortal story the patriotic spirit of Barbara comes to him in a vision of Columbia who tells him that in a previous life he was the Philip Nolan of the story. She takes him back to historic times and shows him a succession of scenes from the book. The man of today sees with horror the famous court martial in which he was sentenced to never hear of the United States again, the tragedy of the careful carrying out of the sentence, and the pitiful death of the man, made easier by the humanity of Captain Danforth (Gilmour), who gives him a brief history of the land he learns to bless before he dies. John's spirit returns from the allegorical journey and he responds to the new and vigorous manhood within and enlists at once, thereby winning Barbara, who was at home on sick leave from her nursing work in France."
1917,The Mate of the Sally Ann,American,Henry King,"Mary Miles Minter, Allan Forrest",comedy drama,https://en.wikipedia.org/wiki/The_Mate_of_the_Sally_Ann,"Captain Ward is an old man living in a ship with his granddaughter Sally. Sally's mother died when Sally was born and never revealed the identity of her father. That is why Ward is overprotective of Sally, and he prays each day for the chance to slay the man who ruined his daughter and left a grandchild without a name. One day, Sally finds a three legged dog and sneaks him into the ship. He runs away, however, and Sally follows him to the mansion of Judge Gordon. There she meets Hugh Schuyler, the young friend of the judge. They fall in love, but Ward chases him away. The judge is struck by how much Sally looks like the woman to whom he was once married. When the judge visits the captain, he tells him he doubts he is Sally's father. Ward becomes angry and tries to kill him, and Sally, interfering, is struck by a blow and knocked unconscious. When she awakes, Sally finds out that Judge Gordon is actually her father, having been secretly married to her mother. She accepts a marriage proposal from Hugh and elopes with him as they happily sail away along with the captain and judge.[2][3]"
1917,A Modern Musketeer,American,Allan Dwan,"Douglas Fairbanks, Marjorie Daw",adventure,https://en.wikipedia.org/wiki/A_Modern_Musketeer,"The film opens with a sequence in which D'Artagnan (Douglas Fairbanks) rides up to a tavern on horseback and ends up brawling with sword and fist with the patrons inside in his haste to approach a fair young stranger. After triumphing, he morphs into modern day Ned Thacker (also played by Fairbanks).
Ned is born and raised in Kansas by a mother who passes along to him her love of D'Artagnan and The Three Musketeers, despite his father's concern that it is not good for him. In fact, Ned does get into trouble with his (sometimes unwanted) chivalrous attempts to help women. Finally, Ned can stand it no more; he decides to leave dull Kansas. In mirroring scenes, D'Artagnan is astride a somewhat less-than-noble steed, a present from his father for his departure from home, while Ned's father gives him the modern equivalent: a car.
While driving in the desert, he comes upon a chauffeur-driven automobile stopped because the road ahead has been washed away. Unimpressed with one passenger, the middle-aged Forrest Vandeteer (the ""richest man in Yonkers""), Ned is quite taken with the lovely ""Park Avenue flapper"" Elsie Dodge. Her mother, the third passenger, sees her only daughter's marriage to Vandeteer as the solution to their dire financial straits. Vandeteer buys what he wants, and he wants Elsie. She, however, loathes her suitor; she much prefers young Ned.
Ned comes up with the idea to put his car on railroad tracks. He takes the party (with Elsie in the front seat beside him) to their Grand Canyon resort hotel. There, Vandeteer tells Ned to stay away from the ladies. John Blabb, who works for ""Town Topics"", informs Ned that Vandeteer already has three wives hidden away somewhere.
Meanwhile, Chin-de-dah, the Native American leader of an outlaw gang hiding in a tributary canyon, is bored. He decides to kidnap a white woman to be his wife (his last ""wife"" is shown to have committed suicide). He goes to the resort, pretending to be a guide, and selects Elsie as his target. Ned is suspicious, but Vandeteer hires him. Vandeteer and Elsie set out for a horse ride down the canyon with their guide. Ned uses the time to persuade Mrs. Dodge that her daughter's happiness should take priority over their financial security.
James Brown, a member of the gang who knows and hates Vandeteer, gleefully tells Ned about the man's impending demise and Chin-de-dah's intentions toward Elsie. Ned shames him into helping with a rescue. They reach the camp in time to free Elsie and Vandeteer, but remain in peril. Vandeteer offers Ned $100,000 to save his life; Ned makes him put it in writing. Then they are lifted up the sheer cliff by a rope pulled by a horse. Once they are safe, Brown wants to kill Vandeteer, who falsely incriminated him in Vandeteer's own scam and stole his wife and children. Vandeteer ends up clinging to the cliffside, kept from falling to his death only by Ned's grip. Under Ned's direction, he writes a note exonerating Brown. Ned persuades Brown to let Vandeteer live, and promises to split the reward with him. Once they are alone, Elsie kisses her rescuer."
1917,Oh Doctor!,American,Roscoe Arbuckle,"'Fatty' Arbuckle, Buster Keaton",comedy,https://en.wikipedia.org/wiki/Oh_Doctor!,"As described in Exhibitors Herald, a film magazine,[3] Dr. Fatty Holepoke (Arbuckle) bets all of his money on a horse and loses it. He becomes entangled in the meshes of a vampire (Mann), but when he hears the voice of ""his master"" (his wife), he finds himself in a serious predicament. With the assistance of a uniform stolen from a policeman, he manages to get away. He tries his luck again with the horses and wins lots of money. However, when he walks down the street his wife relieves him of all of it and leads him home, even though she is half his size."
1917,"Peggy, the Will O' the Wisp",American,Tod Browning,"Mabel Taliaferro, Thomas Carrigan",drama,"https://en.wikipedia.org/wiki/Peggy,_the_Will_O%27_the_Wisp","As described in a film magazine review,[3] Neil Dacey (Carrigan) loves Peggy Desmond (Taliaferro). Terence O'Malley (Sack), nephew of Squire O'Malley (Ryan), is anxious to win Peggy. Terence and his uncle have a quarrel because Terence cannot win Peggy, and the squire is killed. Terence does the killing with Neil's gun, so Neil is held for the murder. Peggy, to save her fiance, dresses as the will-o'-the-wisp, and this results in a confession by Terence."
1917,The Poor Little Rich Girl,American,Maurice Tourneur,Mary Pickford,drama,https://en.wikipedia.org/wiki/The_Poor_Little_Rich_Girl,"Gwendolyn is an 11-year-old girl who is left by her rich and busy parents to the care of unsympathetic domestic workers at the family's mansion. Her mother is only interested in her social life and her father has serious financial problems and is even contemplating suicide. When she manages to have some good time with an organ-grinder or a plumber, or have a mud-fight with street boys, she is rapidly brought back on the right track. One day she becomes sick because the maid has given her an extra dose of sleeping medicine to be able to go out. She then becomes delirious and starts seeing an imaginary world inspired by people and things around her; the Garden of Lonely Children in the Tell-Tale forest. Her conditions worsens and Death tries to lure her to eternal rest. But Life also appears to her and finally wins.[6]"
1917,Reaching for the Moon,American,John Emerson,"Douglas Fairbanks, Eileen Percy",adventure,https://en.wikipedia.org/wiki/Reaching_for_the_Moon_(1917_film),"As described in a film magazine,[3] Alexis Caesar Napoleon Brown (Fairbanks) learns that his mother was a great princess from the European province of Vulgaria but became an outcast because she did not marry royal blood. Alexis believes that if one concentrates on one thing long enough, it will come true. He is continuously concentrating on the idea some day he will be king of Vulgaria. He tells his ambitions to the girl of his dreams (Percy), who is the ""patient listener."" After one of his conferences with his patient sweetheart he goes home and dreams he is king of Vulgaria. On all sides his life is threatened by Black Boris (Campeau), who aspires to the throne. Arrangements are made for him to marry the Princess Valentina, but after one glance at her he is ready to run away. However, he is persuaded to remain and it becomes necessary for him to fight a duel with his rival Boris. Alexis, not knowing how to use a sword, puts up a poor fight and after a short struggle is sent flying down a steep precipice. It becomes steeper and steeper until Alexis awakens, having fallen out of bed. He is cured of his desires and is happy in his little home in New Jersey with his ""patient listener"" as Mrs. Alexis Caesar Napoleon Brown and a two-year old to pass his time with."
1917,Rebecca of Sunnybrook Farm,American,Marshall Neilan,Mary Pickford,drama,https://en.wikipedia.org/wiki/Rebecca_of_Sunnybrook_Farm_(1917_film),"As described in a film magazine,[4] Rebecca Randall (Pickford) is taken into the home of her aunt Hannah (Eddy), a strict New England woman. Rebecca meets Adam Ladd (O'Brien), a young man of the village, and they become great friends. One day Rebecca promises to marry Adam when she becomes of age. Unable to withstand her pranks any longer, her aunt sends her away to a boarding school. She graduates a beautiful young lady. Shortly thereafter, Adam demands a fulfillment of her promise."
1917,A Reckless Romeo,American,Roscoe Arbuckle,"'Fatty' Arbuckle, Al St. John",comedy,https://en.wikipedia.org/wiki/A_Reckless_Romeo,"A philandering husband's public flirtation with a beautiful girl—and the resulting brawl with the woman's boyfriend—are captured by a newsreel cameraman. When the husband takes his wife and her mother out to the movies, the footage is shown on-screen. The husband tries to flee the theater, only to be spotted and leaped upon by the woman's boyfriend, treating viewers to two simultaneous fights between the same two men, both on-screen and in the aisle."
1917,The Rough House,American,"Roscoe Arbuckle, Buster Keaton","'Fatty' Arbuckle, Buster Keaton",comedy,https://en.wikipedia.org/wiki/The_Rough_House,"Early morning in the Rough family household and Mr Rough (Arbuckle) falls asleep while smoking and wakes up several minutes later to find his bed on fire. Still in an early morning daze, Rough calmly walks out of his bedroom, through the dining room and into the kitchen, seeing that the only item big enough to carry water is a cup he makes several trips to the bedroom armed with only a cup of water each time to extinguish the fire. Eventually Mrs Rough and her mother discover the fire and call for the delivery boy (Keaton) to fetch the hose and Rough eventually succeeds in putting out the fire after initially squirting everything but the fire. Later, while trying to flirt with Mrs Rough a fight breaks out between the delivery boy and the house cook and they chase each other through the house. Rough eventually throws both of the men out of the house and they are arrested by a passing policeman. Rough's mother in law insists that Rough clean the house before their dinner guests for the evening arrive. Meanwhile at the police station the delivery boy and the cook agree to join the police force in order to avoid being sent to prison. Back at the house Rough makes a complete mess of the dinner, embarrassing his wife and mother in law in the process, culminating in him setting fire to the dinner table after pouring gasoline onto the steak instead of rum. During the chaos, two of the dinner guests sneak away and steal one of Mrs Rough's necklaces, luckily a passing policeman sees the theft, telephones the station for backup and the chief of police sends his two latest recruits: the delivery boy and the cook to deal with the situation. At the house the policeman attempts to arrest the thieves but they make a break for it and hide in the cellar. After their journey to the house is delayed when the delivery boy gets stuck on a fence, the new police recruits eventually arrive at the house just in time to unintentionally stop the fleeing thieves by bumping into them. Mr Rough takes back the necklace and the thieves are taken to jail."
1917,Souls in Pawn,American,Henry King,"Gail Kane, Douglas MacLean",spy,https://en.wikipedia.org/wiki/Souls_in_Pawn,"As described in a film magazine review,[3] Sebastian Dore (Dearholt) is mysteriously murdered in front of his home, and his beautiful wife Liane (Kane) vows revenge on the murderer. To this end she becomes a German spy for Karl, Prince von Kondermarck (MacLean), but the two fall in love. At the outbreak of war Karl is called to Germany, and Liane opens her home to wounded French soldiers. She accidentally learns that Karl is the murderer of her husband and plans to turn him over to the police. Before he leaves, Karl produces letters showing that Sebastian had betrayed his sister, and explains that Sebastian was accidentally shot in a struggle. Liane and Karl escape together on his yacht."
1917,Straight Shooting,American,John Ford,Harry Carey,western,https://en.wikipedia.org/wiki/Straight_Shooting,"At the end of the 19th century in the Far West, a farmer is fighting for his right to plough the plains. In order to expel the farmers, the ranchers try to control access to water.[2]"
1917,A Strange Transgressor,American,Reginald Barker,Louise Glaum,drama,https://en.wikipedia.org/wiki/A_Strange_Transgressor,"Lola Montrose (played by Glaum) is a kept woman. The man she lives with while facing the scorn of society, famous surgeon Dr. John Hampton (played by Sherry), supports her in lavish style. She wishes he will marry her. Having tired of his mistress, however, Hampton tells her that he plans to marry a ""good woman,"" Paula Chester (played by Matthews), who was originally intended for his son, Irwin (played by Chase). He is sure she will exert proper influence over Irwin.
Lola begs Hampton, whom she loves, to marry her instead. She tells him of her son, David (played by Giraci), who she sent away to school. But Hampton insists that he must not spoil his son's future.
In revenge, Lola decides to marry Irwin. Getting the young man intoxicated, she gets him to propose and they go to the minister. Because Irwin is drunk, however, the clergyman refuses to perform the marriage ceremony. As he was so drunk, Irwin does not realize that there was no actual wedding. He brings Lola home and introduces her to his father as his wife. Hampton, naturally, denounces her.
Lola then receives a call that her son, David, has been badly injured by a fall at school. His new wife, Paula, goes to Hampton and convinces him to operate on David, which saves the boys life. In gratitude, Lola relents. Admitting that the marriage was a hoax, she lets go of Irwin. Seeing his error, Hampton agrees to take care of her and her son."
1917,Wild and Woolly,American,John Emerson,Douglas Fairbanks,unknown,https://en.wikipedia.org/wiki/Wild_and_Woolly,"As described in a film magazine review,[1] Jeff Hillington (Fairbanks), son of railroad magnate Collis J. Hillington (Bytell), tires of the East and longs for the wild and woolly West. He has his apartment and office fixed up in his understanding of the accepted Western style, which he has gleaned from dime novels. A delegation from Bitter Creek comes to New York City seeking financial backing for the construction of a spur line, and go to Collis to explain their proposition. Collis sends Jeff to investigate. The citizens of Bitter Creek, Arizona, realizing that a favorable report from Jeff is necessary, decide to live up to Jeff's idea of a Western town. They set up a program with a wild reception for Jeff, a barroom dance, and a train holdup. Steve Shelby (De Grasse), a grafting Indian agent, knowing that he is about to be caught by the government, decides to do ""one more trick"" and enters into the plan to rob the train, turning it into a real scheme. Events turn earnest and Shelby kidnaps Nell Larabee (Percy), with whom Jeff has fallen in love. The entire crowd has been trapped in the dance hall, which is surrounded by Indians, and Jeff's revolver loaded with blanks. When the situation is finally explained to Jeff, by superhuman efforts (and typical Fairbanks surprises) he rounds up the Indians, rescues the girl, completely foils the scheme of Steve, and becomes the hero of the hour, getting to marry Nell."
1917,The Woman God Forgot,American,Cecil B. DeMille,Wallace Reid,romance,https://en.wikipedia.org/wiki/The_Woman_God_Forgot,"As described in a film magazine,[2] Moctezuma (Hatton), the Aztec king, resents the intrusion of the Spanish who have come to convert the Aztecs to Christianity. As Tecza (Farrar), daughter of the king, loves Alvarado (Reid), one of the Spanish captains, she allows the Spanish soldiers to enter the palace. After a terrific battle, she is the only surviving Aztec and the Spanish allow her to depart in peace. Alvarado then comes wooing the last of the Aztecs and wins her."
1918,All Woman,American,Hobart Henley,"Mae Marsh, Jere Austin",comedy,https://en.wikipedia.org/wiki/All_Woman_(1918_film),"As described in a film magazine,[3] Susan Sweeney (Marsh), employed in a doll factory, learns that she has inherited a hotel in a small town in the Adirondacks. Picturing the hotel as resembling the most palatial building she has ever seen, she and two girl friends set out for the new home. Consternation reigns supreme when the young women are taken to a ramshackle building, one-half vacant and the other half decorated with persons in various stages of inebriation. The sight of two motherless children prompts Sue to remain and before long she has transferred the place into a fairly decent hotel. She is able to put the bar out of business, reforms the village drunkard, plays Cupid, and wins the love of Austin Strong (Austin)."
1918,Amarilly of Clothes-Line Alley,American,Marshall Neilan,Mary Pickford,drama,https://en.wikipedia.org/wiki/Amarilly_of_Clothes-Line_Alley,"Set in San Francisco during the early 1900s, the film revolves around Amarilly (Mary Pickford), the daughter of a widowed scrubwoman. Amarilly is proud of her hard-working Irish family, and takes care of her five roughhouse brothers. She is engaged to bartender Terry McGowan (William Scott), who gets her a job as a cigarette girl in his cafe after a fire unfairly causes her to lose her job as a theater scrubwoman. While working as a cigarette girl, she meets Gordon Phillips (Norman Kerry), a handsome and wealthy but frivolous young man, who is a society sculptor.
Terry becomes jealous when Amarilly starts hanging out with Gordon, and he breaks off the engagement. Gordon offers Amarilly a job with his wealthy and snobbish aunt, Mrs. Phillips (Ida Waterman). When the neighborhood is quarantined after a breakout of scarlet fever, Mrs. Phillips decides to take the time to teach Amarilly high class manners in a Pygmalion-like experiment. However, once she discovers her nephew has fallen in love with Amarilly, she turns against her. Mrs. Phillips tries to humiliate Amarilly by inviting her family over for a social party.
Amarilly is outraged and returns to her old home. She sees Terry and invites him for supper. He is delighted, and on the way to her house, he stops to buy expensive 50 cent violets, even though he had earlier passed up violets at 15 cents. He is shot by accident, and barely makes it to Amarilly's house before collapsing. Fortunately, Terry survives. Amarilly visits him in the hospital and tells him that when he gets out, they have a date at City Hall.
The final scene is five years later. Amarilly is in a side car on Terry's motor bike; they both are nicely dressed and seem to be doing well. Then it is revealed under the blanket she has a baby, and behind Terry is a little boy."
1918,Are Crooks Dishonest?,American,Gilbert Pratt,"Harold Lloyd, Snub Pollard",comedy,https://en.wikipedia.org/wiki/Are_Crooks_Dishonest%3F,"Con artists Harold (Harold Lloyd) and Snub (Snub Pollard) try to con the ""not easily outwitted"" Miss Goulash (Bebe Daniels) and her father."
1918,Arizona,American,Albert Parker,"Douglas Fairbanks, Theodore Roberts",drama,https://en.wikipedia.org/wiki/Arizona_(1918_film),"Denton (Fairbanks) is a lieutenant in the U.S. Cavalry regiment commaded by Colonel Benham (Frederick Burton). Benham is married to the much younger Estrella (Kathleen Kirkham), the daughter of wealthy rancher Canby (Theodore Roberts). Estrella has a sister, Bonita (Marjorie Daw), with whom Denton falls in love.
Denton discovers an affair between Estrella and Captain Hodgeman (Harry Northrup). In his effort to break up the affair, Denton follows Estrella to her room where Benham catches them and misunderstands what he sees. Denton honorably keeps Estrella's secret and in consequence must resign in disgrace.
Canby hires Denton as foreman of his ranch. Denton's relationship with Bonita is endangered by Hodgeman who lies to Canby about him. Hodgeman's grudge against Denton leads to a fight between the two during which Hodgeman is shot and mortally wounded. Denton is suspected, but a cowboy, Tony (Raymond Hatton), declares that he fired the shot to retaliate for Hodgeman's dealings with the girl that he loves. In the end, Estrella reveals the truth about her own indiscretion, enabling Denton and Bonita to marry with her family's blessing as well as a happy ending for Benham and Estrella."
1918,Beauty and the Rogue,American,Henry King,"Mary Miles Minter, Allan Forrest",crime drama,https://en.wikipedia.org/wiki/Beauty_and_the_Rogue,"As described in a film magazine,[3] Roberta Lee (Minter), interested in uplift work, induces her father Thomas Lee (Periolat) to take on Bill Dorgan (Humphrey), a convict, as a gardener. Bill steals Roberta's jewelry the night she leaves on a vacation on a ranch, and he hides in the country not far from the ranch. Roberta meets Richard Van Stone (Forrest) and they become mutually attracted. Richard gives Roberta a brooch that he had bought from Bill. When Roberta recognizes it as being hers and believes Richard guilty of the theft, she turns him over to the sheriff. Bill is later captured and Richard is released. Roberta learns that Richard is her father's new general manager, and she goes to tell him that she and Richard are engaged."
1918,"Believe Me, Xantippe",American,Donald Crisp,"Wallace Reid, Ann Little, Noah Beery",comedy,"https://en.wikipedia.org/wiki/Believe_Me,_Xantippe","As described in a film magazine,[5] George MacFarland (Reid) makes a bet with two of his friends that, having committed a forgery, he will be able to elude the officers of the law for one year. As his friends are very thorough, he does not find it an easy matter getting around town. He finally goes to a small town in the west where he lives unmolested for eleven months. On a hunting expedition he meets Dolly Kamman (Little), daughter of Sheriff Kamman (Beery), who takes George to meet her father. As Dolly has fallen in love with George's photograph, he is a somewhat privileged prisoner. On the day the bet is off George hears that his friends have drowned and he is sure he is to be sent to Sing Sing. The arrival of the boys, however, changes things, and in addition to being set free George wins Dolly."
